,,Acidentes c/,Mortos,Feridos,Feridos,Total de
,,vítimas,,graves,leves,vítimas
,Atropelamentos,207,18,42,169,229
REGIÃO,Colisão,862,58,194,1064,1316
ALENTEJO,Despiste,1008,65,237,1188,1490
,Total,2077,141,473,2421,3035
,Atropelamentos,60,7,9,47,63
Beja,Colisão,276,18,63,372,453
,Despiste,394,36,86,480,602
,Total,730,61,158,899,1118
,Atropelamentos,80,8,16,67,91
Évora,Colisão,356,28,71,416,515
,Despiste,368,21,85,427,533
,Total,804,57,172,910,1139
,Atropelamentos,67,3,17,55,75
Portalegre,Colisão,230,12,60,276,348
,Despiste,246,8,66,281,355
,Total,543,23,143,612,778
