Distrito de Santarém,,,,,,,,
,,,,,,,,
Código,Km,km,Nº de,Nº de,Nº de,Nº de,Nº de,Indicador de
da via,Inicial,Final,Acidentes,Veículos,Mortos,F.Graves,F.Leves,Gravidade
EN10,93.400,93.500,12,25,2,7,30,360
EN10,107.200,107.300,7,14,1,4,8,164
EN110,107.700,107.900,6,13,0,1,9,37
EN113,23.100,23.300,6,7,0,4,2,46
EN113,25.000,25.170,5,7,1,4,4,152
EN114,93.400,93.500,6,8,0,0,8,24
EN114,100.150,100.350,9,11,5,1,13,549
EN114,116.950,117.000,5,10,0,1,7,31
EN118,33.300,33.450,5,8,0,2,4,32
EN118,62.000,62.150,5,10,0,0,7,21
EN243,35.400,35.400,5,11,0,1,7,31
EN3,0.035,0.230,5,6,0,0,7,21
EN3,31.280,31.400,5,10,0,3,14,72
EN3,32.700,32.900,5,11,0,2,5,35
,,Total,86,151,9,30,125,
,,,,,,,,
,,,,,,,,
Distrito de Setúbal,,,,,,,,
,,,,,,,,
EN10,16.900,17.100,6,11,0,0,8,24
EN10,23.300,23.400,5,9,0,0,7,21
EN11,24.800,25.000,7,16,0,1,8,34
EN378,4.410,4.600,8,15,0,1,11,43
EN378,6.350,6.500,5,10,0,1,12,46
EN378,7.300,7.500,6,12,0,0,8,24
EN5,34.900,35.100,6,8,0,2,13,59
A2 (2),5.900,6.000,5,14,0,0,8,24
A2 (1),24.000,24.200,5,6,0,1,4,22
IC20,2.000,2.200,6,17,1,0,13,139
IC21,7.000,7.005,5,13,0,0,11,33
,,,,,,,,
,,Total,64,131,1,6,103,
(1) Sentido crescente da quilometrag em,,,,,,,,
(2) Sentido decrescente da quilometragem,,,,,,,,
