,,Acidentes com,,Vítimas,,,,,,Total de,
,,,,,,Feridos graves,,Feridos leves,,,
,,vítimas,,mortais,,,,,,vítimas,
,,,,,,,,,,,
,,2001,2002,2001,2002,2001,2002,2001,2002,2001,2002
,,,,,,,,,,,
,Braga,3032,3163,95,105,290,317,3971,4211,4356,4633
,,,,,,,,,,,
REGIÃO,Bragança,464,435,37,31,96,69,558,592,691,692
,,,,,,,,,,,
NORTE,Porto,6654,5471,182,152,492,347,8611,6982,9285,7481
,,,,,,,,,,,
,V. Castelo,979,1064,38,49,69,93,1291,1383,1398,1525
,,,,,,,,,,,
,Vila Real,663,779,32,35,104,83,895,1012,1031,1130
,,,,,,,,,,,
,,11792,10912,384,372,1051,909,15326,14180,16761,15461
,,,,,,,,,,,
,Aveiro,3726,3730,105,128,429,318,4480,4538,5014,4984
,,,,,,,,,,,
REGIÃO,C. Branco,605,611,26,29,127,96,750,753,903,878
,,,,,,,,,,,
CENTRO,Coimbra,2441,2488,96,69,193,122,2979,3076,3268,3267
,,,,,,,,,,,
,Guarda,628,694,40,31,98,122,781,876,919,1029
,,,,,,,,,,,
,Leiria,3274,3122,101,97,456,311,3926,3873,4483,4281
,,,,,,,,,,,
,Viseu,1107,1703,68,51,175,140,1445,2274,1688,2465
,,,,,,,,,,,
,,11781,12348,436,405,1478,1109,14361,15390,16275,16904
,,,,,,,,,,,
REGIÃO DE,Lisboa,8240,7980,184,171,1157,833,9383,9385,10724,10389
,,,,,,,,,,,
LISBOA,Santarém,2524,2635,112,124,743,636,2651,3009,3506,3769
,,,,,,,,,,,
E VALE TEJO,Setúbal,3085,3346,122,115,535,457,3586,4035,4243,4607
,,,,,,,,,,,
,,13849,13961,418,410,2435,1926,15620,16429,18473,18765
,,,,,,,,,,,
REGIÃO DO,Beja,757,730,49,61,166,158,929,899,1144,1118
,,,,,,,,,,,
ALENTEJO,Évora,764,804,29,57,154,172,874,910,1057,1139
,,,,,,,,,,,
,Portalegre,520,543,44,23,153,143,601,612,798,778
,,,,,,,,,,,
,,2041,2077,122,141,473,473,2404,2421,2999,3035
,,,,,,,,,,,
R. ALGARVE,Faro,3058,2921,106,141,360,353,3536,3395,4002,3889
,,,,,,,,,,,
TOTAL,,42521,42219,1466,1469,5797,4770,51247,51815,58510,58054
,,,,,,,,,,,
,,,,,,,,,,,
Média,,2362,2346,81,82,322,265,2847,2879,3251,3225
