,,,,,,,,
,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,
,,,,,,,,
,,,,,,,,
,2001,2002,2001,2002,2001,2002,2001,2002
Em marcha normal,667,643,2418,2062,21579,22427,24664,25132
Inversão do sentido de marcha,3,3,22,18,156,145,181,166
Início da marcha,7,3,16,14,175,174,198,191
Marcha atrás,0,1,2,3,50,43,52,47
Mudança de direcção para a direita,3,6,37,18,337,348,377,372
Mudança de direcção para a esq.,42,39,199,171,2175,2064,2416,2274
Mudança via de trânsito para a dir.,3,5,15,12,137,108,155,125
Mudança via de trânsito para a esq.,26,30,74,48,518,480,618,558
Parado ou estacionado,8,10,29,22,712,734,749,766
Saída parqueamento ou rua particular,5,13,27,36,329,304,361,353
Travagem brusca,10,12,58,41,742,730,810,783
Trânsito em filas paralelas,1,0,5,2,35,42,41,44
Ultrapassagem pela direita,6,6,16,11,144,114,166,131
Ultrapassagem pela esquerda,53,47,187,122,1349,1227,1589,1396
Não definidos,4,14,29,45,212,346,245,405
,,,,,,,,
Total,838,832,3134,2625,28650,29286,32622,32743
