,,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
,,,,,,,,,,,,,,
,Acidentes com vítimas,1116,1106,1241,1181,1177,1188,1327,1172,1133,1078,1142,1100,13961
,,,,,,,,,,,,,,
REGIÃO DE,Acid.c/ mortos e f.graves,151,165,180,161,167,157,177,157,137,146,139,159,1896
,,,,,,,,,,,,,,
LISBOA E,Acid.com mortos,31,36,41,28,28,22,38,26,37,29,21,29,366
,,,,,,,,,,,,,,
VALE TEJO,Mortos,31,41,47,31,31,22,46,27,44,35,26,29,410
,,,,,,,,,,,,,,
,F.Graves,140,157,185,170,173,161,183,164,136,144,148,165,1926
,,,,,,,,,,,,,,
,F.Leves,1259,1269,1485,1358,1336,1397,1608,1446,1384,1273,1350,1264,16429
,,,,,,,,,,,,,,
,Acidentes com vítimas,662,651,699,700,715,692,755,635,648,587,609,627,7980
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,66,86,73,82,82,70,81,66,61,68,50,70,855
,,,,,,,,,,,,,,
Lisboa,Acid.com mortos,13,18,20,12,13,8,13,11,16,12,5,14,155
,,,,,,,,,,,,,,
,Mortos,13,20,21,13,13,8,13,11,17,18,10,14,171
,,,,,,,,,,,,,,
,F.Graves,56,72,63,90,80,73,80,65,57,64,62,71,833
,,,,,,,,,,,,,,
,F.Leves,747,756,809,808,820,835,909,788,796,673,726,718,9385
,,,,,,,,,,,,,,
,Acidentes com vítimas,201,208,230,213,184,221,254,235,215,202,252,220,2635
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,48,46,56,45,41,49,58,51,43,46,57,46,586
,,,,,,,,,,,,,,
Santarém,Acid.com mortos,12,9,11,11,6,8,12,8,7,9,11,4,108
,,,,,,,,,,,,,,
,Mortos,12,12,15,13,6,8,15,8,11,9,11,4,124
,,,,,,,,,,,,,,
,F.Graves,48,54,61,43,50,50,62,58,53,48,55,54,636
,,,,,,,,,,,,,,
,F.Leves,217,222,250,236,204,254,314,286,239,248,289,250,3009
,,,,,,,,,,,,,,
,Acidentes com vítimas,253,247,312,268,278,275,318,302,270,289,281,253,3346
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,37,33,51,34,44,38,38,40,33,32,32,43,455
,,,,,,,,,,,,,,
Setúbal,Acid.com mortos,6,9,10,5,9,6,13,7,14,8,5,11,103
,,,,,,,,,,,,,,
,Mortos,6,9,11,5,12,6,18,8,16,8,5,11,115
,,,,,,,,,,,,,,
,F.Graves,36,31,61,37,43,38,41,41,26,32,31,40,457
,,,,,,,,,,,,,,
,F.Leves,295,291,426,314,312,308,385,372,349,352,335,296,4035
,,,,,,,,,,,,,,
