,,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
,,,,,,,,,,,,,,
,Acidentes com vítimas,803,659,817,857,967,926,1015,1061,931,926,946,1004,10912
,Acid.c/ mortos e f.graves,65,72,82,76,90,89,95,99,78,96,74,108,1024
REGIÃO,Acid.com mortos,25,30,28,21,28,23,33,29,27,32,26,36,338
NORTE,Mortos,27,33,34,23,30,25,36,30,31,34,27,42,372
,F.Graves,50,58,78,67,92,81,85,83,73,81,68,93,909
,F.Leves,1052,822,1057,1095,1246,1249,1316,1494,1230,1139,1242,1238,14180
,Acidentes com vítimas,174,217,275,256,258,286,281,310,275,266,282,283,3163
,Acid.c/ mortos e f.graves,20,21,24,19,28,34,32,26,34,35,30,34,337
Braga,Acid.com mortos,4,6,9,5,9,6,14,8,12,8,10,9,100
,Mortos,4,7,10,5,9,6,14,8,14,8,10,10,105
,F.Graves,20,23,21,17,33,33,31,23,27,29,29,31,317
,F.Leves,236,286,366,341,350,409,376,440,361,348,353,345,4211
,Acidentes com vítimas,23,15,19,31,51,31,42,67,38,38,32,48,435
,Acid.c/ mortos e f.graves,5,4,5,6,8,4,8,8,5,6,7,6,72
Bragança,Acid.com mortos,1,1,1,3,3,2,3,3,3,3,3,1,27
,Mortos,2,1,1,4,3,2,3,3,4,3,3,2,31
,F.Graves,5,4,4,6,6,2,6,6,9,9,6,6,69
,F.Leves,37,19,22,41,68,47,48,104,56,46,47,57,592
,Acidentes com vítimas,483,299,374,447,495,461,510,454,459,482,488,519,5471
,Acid.c/ mortos e f.graves,27,30,32,42,34,36,34,38,28,40,26,47,414
Porto,Acid.com mortos,13,12,12,9,12,11,8,12,8,14,9,17,137
,Mortos,13,14,16,9,13,13,10,13,8,16,9,18,152
,F.Graves,14,21,33,38,29,30,33,27,27,31,22,42,347
,F.Leves,622,352,467,558,601,597,664,623,605,565,664,664,6982
,Acidentes com vítimas,64,71,90,75,93,82,100,129,87,91,87,95,1064
,Acid.c/ mortos e f.graves,6,6,10,4,10,9,10,17,4,10,5,15,106
V.Castelo,Acid.com mortos,4,4,4,3,2,1,3,5,3,4,3,7,43
,Mortos,4,4,4,4,3,1,3,5,4,4,4,9,49
,F.Graves,3,2,7,2,16,9,8,18,4,9,5,10,93
,F.Leves,87,97,115,96,127,103,128,180,120,120,109,101,1383
,Acidentes com vítimas,59,57,59,48,70,66,82,101,72,49,57,59,779
,Acid.c/ mortos e f.graves,7,11,11,5,10,6,11,10,7,5,6,6,95
V.Real,Acid.com mortos,3,7,2,1,2,3,5,1,1,3,1,2,31
,Mortos,4,7,3,1,2,3,6,1,1,3,1,3,35
,F.Graves,8,8,13,4,8,7,7,9,6,3,6,4,83
,F.Leves,70,68,87,59,100,93,100,147,88,60,69,71,1012
