,,,,,,
,Feminino,,Masculino,,Total (1),
,,,,,,
,2001,2002,2001,2002,2001,2002
Feridos leves,6371,6853,22216,22368,28650,29286
<=14,48,41,260,265,308,308
15-19,366,373,2199,2075,2567,2450
20-24,1231,1226,4024,3750,5259,4978
25-29,1220,1329,3345,3351,4569,4685
30-34,938,1011,2324,2457,3265,3469
35-39,803,865,1906,2041,2711,2908
40-44,544,675,1708,1723,2254,2399
45-49,426,473,1348,1430,1774,1906
50-54,296,329,1107,1162,1405,1493
55-59,192,214,903,998,1095,1215
60-64,130,145,931,897,1061,1043
>=65,132,140,1865,2050,1998,2193
Não def.,45,32,296,169,384,239
Total de vítimas,6817,7282,25735,25391,32622,32743
,,,,,,
<=14,51,44,299,310,350,357
15-19,396,396,2562,2373,2961,2771
20-24,1311,1299,4674,4217,5989,5518
25-29,1303,1411,3880,3792,5187,5208
30-34,988,1082,2690,2809,3681,3892
35-39,855,903,2209,2308,3066,3214
40-44,591,713,1937,1949,2530,2663
45-49,461,504,1550,1621,2011,2128
50-54,318,350,1255,1314,1575,1666
55-59,214,225,1027,1135,1242,1363
60-64,140,156,1071,1001,1211,1158
>=65,139,163,2212,2341,2352,2507
Não def.,50,36,369,221,467,298
