,,,,,,,,,
,1998,1999,99/98,2000,00/99,2001,01/00,2002,02/01
,,,,,,,,,
,,,,,,,,,
Vítimas mortais,1070,1022,-48,916,-106,838,-78,832,-6
Veículos ligeiros,489,529,40,461,-68,424,-37,442,18
Veículos pesados,38,28,-10,29,1,24,-5,17,-7
Velocípedes,65,35,-30,48,13,44,-4,51,7
Ciclomotores,260,204,-56,181,-23,145,-36,119,-26
,,,,,,,,,
Motociclos,181,199,18,167,-32,176,9,179,3
,,,,,,,,,
Outros,37,27,-10,30,3,25,-5,24,-1
,,,,,,,,,
Feridos Graves,4479,4115,-364,3777,-338,3134,-643,2625,-509
,,,,,,,,,
Veículos ligeiros,1880,1881,1,1872,-9,1594,-278,1419,-175
,,,,,,,,,
Veículos pesados,68,78,10,76,-2,69,-7,52,-17
,,,,,,,,,
Velocípedes,252,213,-39,163,-50,136,-27,136,0
Ciclomotores,1406,1116,-290,860,-256,665,-195,535,-130
Motociclos,801,785,-16,773,-12,650,-123,458,-192
Outros,72,42,-30,33,-9,20,-13,25,5
,,,,,,,,,
Feridos Leves,32901,32253,-648,29316,-2937,28650,-666,29286,636
,,,,,,,,,
Veículos ligeiros,16373,17540,1167,17066,-474,17219,153,18609,1390
,,,,,,,,,
Veículos pesados,559,604,45,555,-49,519,-36,545,26
,,,,,,,,,
Velocípedes,1291,1353,62,1060,-293,1143,83,1145,2
,,,,,,,,,
Ciclomotores,10405,8465,-1940,6562,-1903,5727,-835,5026,-701
,,,,,,,,,
Motociclos,3947,4106,159,3912,-194,3878,-34,3750,-128
,,,,,,,,,
Outros,326,185,-141,161,-24,164,3,211,47
,,,,,,,,,
Total vítimas,38450,37390,-1060,34009,-3381,32622,-1387,32743,121
,,,,,,,,,
Veículos ligeiros,18742,19950,1208,19399,-551,19237,-162,20470,1233
,,,,,,,,,
Veículos pesados,665,710,45,660,-50,612,-48,614,2
,,,,,,,,,
Velocípedes,1608,1601,-7,1271,-330,1323,52,1332,9
,,,,,,,,,
Ciclomotores,12071,9785,-2286,7603,-2182,6537,-1066,5680,-857
,,,,,,,,,
Motociclos,4929,5090,161,4852,-238,4704,-148,4387,-317
,,,,,,,,,
Outros,435,254,-181,224,-30,209,-15,260,51
