,Feridos graves,,,,,,,
,Condutores,,Passageiros,,Peões,,Total de utentes,
,,,,,,,,
,2001,2002,2001,2002,2001,2002,2001,2002
,,,,,,,,
Auto-Estrada,151,127,134,132,8,6,293,265
Estrada Nacional,1178,995,623,499,219,190,2020,1684
Dentro Localidade,444,355,199,157,142,119,785,631
Fora Localidade,734,640,424,342,77,71,1235,1053
IP/IC,234,163,192,130,21,13,447,306
Dentro Localidade,25,10,7,7,4,1,149,85
Fora Localidade,209,153,185,123,17,12,298,221
Estrada Municipal,427,380,179,164,79,59,685,603
Dentro Localidade,176,147,52,66,47,40,275,253
Fora Localidade,251,233,127,98,32,19,410,350
Arruamentos,1084,881,390,271,751,632,2225,1784
Outras (1),60,79,47,43,20,6,127,128
Dentro Localidade,18,35,11,16,15,2,44,53
Fora Localidade,42,44,36,27,5,4,83,75
Total da rede,3134,2625,1565,1239,1098,906,5797,4770
Dentro Localidade,1747,1428,659,517,959,794,3478,2806
Fora Localidade,1387,1197,906,722,139,112,2319,1964
