Distrito do Porto (continuação),,,,,,,,
,,,,,,,,
Código,Km,km,Nº de,Nº de,Nº de,Nº de,Nº de,Indicador de
da via,Inicial,Final,Acidentes,Veículos,Mortos,F.Graves,F.Leves,Gravidade
IC1,316.000,316.200,9,22,0,0,15,45
IC1,316.900,317.000,5,11,2,0,4,212
IC1,326.800,327.000,5,9,0,0,8,24
IC23,2.000,2.000,9,15,0,0,12,36
IC23,3.000,3.000,8,20,0,0,13,39
IP4,65.400,65.600,6,13,2,1,9,237
IP4,66.400,66.500,6,9,2,2,10,250
IP4,69.400,69.600,9,18,1,2,13,159
IP4,69.900,70.000,5,10,0,0,15,45
IP4,72.700,72.900,8,11,1,1,20,170
,,Total,215,433,16,22,332,
Distrito de Viana do Castelo,,,,,,,,
,,,,,,,,
,,,,,,,,
EN13,102.900,103.053,5,12,0,3,8,54
,,,,,,,,
EN202,2.200,2.400,6,12,0,0,9,27
,,,,,,,,
EN202,11.000,11.200,5,7,2,1,11,243
,,,,,,,,
EN308,7.250,7.320,5,10,0,0,9,27
,,,,,,,,
,,Total,21,41,2,4,37,
Distrito de Vila Real,,,,,,,,
,,,,,,,,
EN2,59.940,60.000,5,6,0,0,10,30
IP4,79.600,79.800,5,8,2,2,6,238
IP4,80.300,80.500,8,15,1,2,12,156
,,,,,,,,
,,Total,18,29,3,4,28,
