Distrito de Lisboa,,,,,,,,
,,,,,,,,
Código,Km,km,Nº de,Nº de,Nº de,Nº de,Nº de,Indicador de
da via,Inicial,Final,Acidentes,Veículos,Mortos,F.Graves,F.Leves,Gravidade
EN10,124.050,124.200,6,13,1,1,4,122
EN10,125.500,125.700,8,18,1,0,11,133
EN10,126.800,127.000,5,9,0,1,5,25
EN10,128.400,128.600,7,11,0,1,6,28
EN10,128.800,129.000,6,9,0,0,8,24
EN10,133.100,133.300,5,10,0,0,7,21
EN247,51.000,51.110,6,9,0,1,6,28
EN249-4,8.000,8.200,8,14,0,0,9,27
EN3,0.450,0.600,6,12,0,0,7,21
EN6,3.525,3.700,5,9,0,0,7,21
EN6,3.900,4.100,9,11,0,0,10,30
EN6,6.000,6.200,9,16,0,0,12,36
EN6,7.900,8.100,5,6,0,2,5,35
EN6,9.800,10.000,7,9,0,1,7,31
EN6,12.300,12.500,7,10,0,0,9,27
EN6,13.000,13.200,6,12,1,0,12,136
EN9,10.400,10.600,7,12,0,0,8,24
A1 (1),8.700,8.900,5,11,1,1,5,125
A1 (1),13.200,13.400,7,17,0,0,17,51
A1 (2),24.950,25.050,5,10,0,0,12,36
A1 (2),44.800,45.000,5,6,0,0,10,30
A5 (1),0.100,0.300,5,10,0,1,4,22
A5 (2),0.500,0.700,6,12,0,1,6,28
A5 (1),1.800,2.000,5,10,0,0,7,21
A5 (1),2.400,2.500,5,13,0,0,7,21
A5 (1),4.300,4.500,10,20,0,1,9,37
A5 (1),6.800,7.000,7,11,0,1,12,46
A5 (2),6.900,7.000,5,12,0,1,9,37
A5 (1),7.400,7.600,6,13,0,1,5,25
A5 (1),14.500,14.500,6,13,0,0,8,24
A9 (2),3.900,4.100,6,10,0,1,6,28
IC16,0.900,1.100,10,12,0,0,13,39
IC19,4.100,4.300,6,12,0,3,10,60
IC19,4.400,4.600,6,17,0,1,10,40
IC19,5.400,5.600,6,12,0,1,6,28
IC19,6.000,6.200,5,12,0,0,9,27
IC19,7.000,7.200,6,15,0,0,7,21
IC19,7.800,8.000,6,14,0,0,10,30
IC19,8.200,8.400,5,8,0,0,7,21
IC19,8.600,8.800,8,12,0,0,10,30
IC19,9.600,9.800,11,16,1,0,20,160
IC19,9.900,10.100,8,17,0,0,10,30
IC19,12.100,12.300,6,15,0,0,8,24
IC2,26.000,26.200,8,16,0,1,8,34
IC2,30.500,30.650,5,9,0,1,8,34
IC22,0.700,0.900,6,8,0,0,13,39
,,,,,,,,
,,Total,297,553,5,22,399,
(1) Sentido crescente da quilometra gem,,,,,,,,
(2) Sentido decrescente da quilometragem,,,,,,,,
