,,1998,,1999,,2000,,2001,,2002,
,,PSP,GNR,PSP,GNR,PSP,GNR,PSP,GNR,PSP,GNR
,De 0.00 a,,,,,,,,,,
0.49 g/l,,89.777,744.795,100.048,792.223,96.166,787.010,116585,853384,102643,774623
,De 0.50 a,,,,,,,,,,
0.79 g/l,,547,3.044,1.137,4.573,944,3.969,1039,5592,1016,6756
,De 0.80 a,,,,,,,,,,
1.19 g/l,,677,4.142,1.055,5.367,1.071,4.945,1319,6223,1359,7259
,Igual ou,,,,,,,,,,
,maior,3.303,7.386,3.532,9.451,3.592,8.627,3118,8945,2571,10244
1.20 g/l,,,,,,,,,,,
Total de,,4.527,14.572,5.724,19.391,5.607,17.541,5.476,20.760,4.946,24.259
Infractores,,19099,,25115,,23148,,26236,,29205,
Total de,,94.304,759.367,105.772,811.614,101.773,804.551,122.061,874.144,107.589,798.882
testes,,853671,,917386,,906324,,996205,,906471,
