,,,,,,
,Feminino,,Masculino,,Total (1),
,,,,,,
,2001,2002,2001,2002,2001,2002
Feridos leves,8811,8918,7190,7072,16008,16002
,,,,,,
<=5,474,465,529,532,1004,997
,,,,,,
6-9,329,354,346,342,675,697
,,,,,,
10-14,487,389,433,408,920,797
,,,,,,
15-19,948,1014,1250,1238,2199,2253
,,,,,,
20-24,1189,1141,1190,1203,2379,2347
,,,,,,
25-29,880,894,820,762,1701,1656
,,,,,,
30-34,621,592,519,559,1140,1152
,,,,,,
35-39,519,485,393,371,912,856
,,,,,,
40-44,480,531,335,311,815,843
,,,,,,
45-49,482,494,272,261,754,755
,,,,,,
50-54,510,501,203,199,713,700
,,,,,,
55-59,402,433,153,147,555,582
,,,,,,
60-64,428,465,163,151,591,617
,,,,,,
>=65,944,1048,479,471,1424,1519
,,,,,,
Não def.,118,112,105,117,226,231
Total de vítimas,9666,9642,8231,7926,17905,17581
,,,,,,
,,,,,,
<=5,505,499,565,571,1071,1070
,,,,,,
6-9,350,373,374,370,724,744
,,,,,,
10-14,522,424,479,447,1001,871
,,,,,,
15-19,1071,1095,1451,1385,2523,2481
,,,,,,
20-24,1291,1235,1400,1353,2692,2591
,,,,,,
25-29,962,954,953,884,1916,1838
,,,,,,
30-34,666,629,593,636,1259,1266
,,,,,,
35-39,567,519,462,427,1029,946
,,,,,,
40-44,520,590,382,339,902,930
,,,,,,
45-49,530,538,307,292,837,830
,,,,,,
50-54,560,535,235,225,795,761
,,,,,,
55-59,441,477,173,164,614,643
,,,,,,
60-64,478,496,189,167,667,664
,,,,,,
>=65,1075,1157,544,521,1620,1678
,,,,,,
Não def.,128,121,124,145,255,268
