,,,1998,1999,2000,2001,2002
,,Norte,9976,13054,20811,23397,22804
,,Centro,9996,12612,17237,18257,17160
,A,Lisboa e Vale do Tejo,14522,18456,16938,18460,16399
,,Alentejo,1568,2244,2452,3070,2680
,,Algarve,1302,1991,2703,2575,2439
,,Total,37364,48357,60141,65759,61482
,,Norte,65446,55849,63532,59324,61876
,,Centro,43889,40191,39228,38283,37900
,B,Lisboa e Vale do Tejo,56752,48650,48226,47108,48297
,,Alentejo,8522,7513,6760,7055,6966
,,Algarve,5187,4744,6214,5674,5944
,,Total,179796,156947,163960,157444,160983
,,Norte,2799,2773,3388,3097,3282
,,Centro,3382,2963,3368,3391,3362
,C,Lisboa e Vale do Tejo,2698,2140,2269,2460,2553
,,Alentejo,639,530,658,520,553
,,Algarve,303,243,334,307,334
,,Total,9821,8649,10017,9775,10084
,,Norte,685,804,709,793,892
,,Centro,611,615,570,571,630
,D,Lisboa e Vale do Tejo,784,678,763,769,729
,,Alentejo,106,133,134,138,155
,,Algarve,77,97,112,95,82
,,Total,2263,2327,2288,2366,2488
,,Norte,3566,3309,4603,4902,5537
,,Centro,5260,4668,5414,5973,6040
,E,Lisboa e Vale do Tejo,3969,3500,3709,4153,4235
,,Alentejo,823,751,960,842,1033
,,Algarve,398,304,412,470,488
,,Total,14016,12532,15098,16340,17333
TOTAL GERAL,,,243260,228812,251504,251684,252370
