,,,,,,,,
,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,
,,,,,,,,
,2001,2002,2001,2002,2001,2002,2001,2002
Dentro das localidades,195,197,959,794,6128,6090,7282,7081
Arruamento,113,107,751,632,5135,5202,5999,5941
Estrada Nacional,65,68,142,119,633,587,840,774
Estrada Municipal,12,15,47,40,290,258,349,313
Itinerário Complementar,2,6,3,1,10,13,15,20
Outra Via (1),3,1,16,2,60,30,79,33
Fora das localidades,101,100,139,112,461,437,701,649
Auto-Estrada,9,9,8,6,13,19,30,34
Estrada Nacional,59,67,77,71,260,236,396,374
Estrada Municipal,14,9,32,19,152,137,198,165
Itinerário Complementar,13,8,12,8,18,26,43,42
Outra Via (1),6,7,10,8,18,19,34,34
,,,,,,,,
Total,296,297,1098,906,6589,6527,7983,7730
Auto-Estrada,9,9,8,6,13,19,30,34
Arruamento,113,107,751,632,5135,5205,5999,5944
Estrada Nacional,124,135,219,190,893,820,1236,1145
Estrada Municipal,26,24,79,59,442,395,547,478
Itinerário Complementar,15,14,15,9,28,39,58,62
Outra Via (1),9,8,26,10,78,49,113,67
