,,Acidentes c/,,Feridos,Feridos,Total de
,,,Mortos,,,
,,vítimas,,graves,leves,vítimas
,,,,,,
,Atropelamentos,2984,103,385,2685,3173
REGIÃO,Colisão,7449,170,977,9630,10777
LISBOA E,Despiste,3528,137,564,4114,4815
VALE TEJO,Total,13961,410,1926,16429,18765
,Atropelamentos,2089,51,250,1910,2211
Lisboa,Colisão,4187,67,361,5455,5883
,Despiste,1704,53,222,2020,2295
,Total,7980,171,833,9385,10389
,Atropelamentos,292,19,67,226,312
Santarém,Colisão,1411,57,368,1764,2189
,Despiste,932,48,201,1019,1268
,Total,2635,124,636,3009,3769
,Atropelamentos,603,33,68,549,650
Setúbal,Colisão,1851,46,248,2411,2705
,Despiste,892,36,141,1075,1252
,Total,3346,115,457,4035,4607
