,,,,,,
,Feminino,,Masculino,,Total (1),
,,,,,,
,2001,2002,2001,2002,2001,2002
Vítimas mortais,106,95,190,201,296,297
,,,,,,
<=5,3,2,3,1,6,3
,,,,,,
6-9,3,3,0,4,3,7
,,,,,,
10-14,3,2,7,6,10,8
,,,,,,
15-19,3,2,6,1,9,3
,,,,,,
20-24,2,2,3,4,5,6
,,,,,,
25-29,1,3,10,9,11,12
,,,,,,
30-34,5,3,6,10,11,13
,,,,,,
35-39,3,2,9,15,12,17
,,,,,,
40-44,4,3,14,19,18,22
,,,,,,
45-49,5,3,16,14,21,17
,,,,,,
50-54,5,5,16,8,21,13
,,,,,,
55-59,7,7,10,15,17,22
,,,,,,
60-64,7,10,12,19,19,29
,,,,,,
>=65,50,47,66,72,116,119
,,,,,,
Não def.,5,1,12,4,17,6
Feridos Graves,438,360,657,545,1098,906
,,,,,,
,,,,,,
<=5,18,10,30,26,48,36
,,,,,,
6-9,31,25,46,30,77,55
,,,,,,
10-14,21,29,40,47,61,76
,,,,,,
15-19,21,16,22,18,43,34
,,,,,,
20-24,16,13,28,20,45,33
,,,,,,
25-29,17,15,29,29,46,44
,,,,,,
30-34,18,11,41,27,59,38
,,,,,,
35-39,12,15,49,32,61,47
,,,,,,
40-44,13,19,38,30,51,49
,,,,,,
45-49,21,18,41,43,62,61
,,,,,,
50-54,18,21,36,28,54,49
,,,,,,
55-59,23,18,33,27,56,45
,,,,,,
60-64,33,19,26,25,59,44
,,,,,,
>=65,175,129,182,152,357,281
,,,,,,
Não def.,1,2,16,11,19,14
