,,,,,,
,Feminino,,Masculino,,Total (1),
,,,,,,
,2001,2002,2001,2002,2001,2002
Vítimas mortais,151,137,180,203,332,340
,,,,,,
<=5,5,5,4,6,9,11
,,,,,,
6-9,2,1,6,5,8,6
,,,,,,
10-14,3,7,8,5,11,12
,,,,,,
15-19,17,13,34,34,51,47
,,,,,,
20-24,24,15,42,43,67,58
,,,,,,
25-29,6,8,29,33,35,41
,,,,,,
30-34,7,4,11,19,18,23
,,,,,,
35-39,4,7,13,12,17,19
,,,,,,
40-44,6,10,7,7,13,17
,,,,,,
45-49,7,9,3,4,10,13
,,,,,,
50-54,10,8,2,6,12,14
,,,,,,
55-59,9,11,6,3,15,14
,,,,,,
60-64,12,9,4,2,16,11
,,,,,,
>=65,37,29,8,17,45,46
,,,,,,
Não def.,2,1,3,7,5,8
Feridos graves,704,587,861,651,1565,1239
,,,,,,
,,,,,,
<=5,26,29,32,33,58,62
,,,,,,
6-9,19,18,22,23,41,41
,,,,,,
10-14,32,28,38,34,70,62
,,,,,,
15-19,106,68,167,113,273,181
,,,,,,
20-24,78,79,168,107,246,186
,,,,,,
25-29,76,52,104,89,180,141
,,,,,,
30-34,38,33,63,58,101,91
,,,,,,
35-39,44,27,56,44,100,71
,,,,,,
40-44,34,49,40,21,74,70
,,,,,,
45-49,41,35,32,27,73,62
,,,,,,
50-54,40,26,30,20,70,47
,,,,,,
55-59,30,33,14,14,44,47
,,,,,,
60-64,38,22,22,14,60,36
,,,,,,
>=65,94,80,57,33,151,113
,,,,,,
Não def.,8,8,16,21,24,29
