,,,Veículos de instrução,,,,,,,
,,,Motoc.,Ligeiros,Pesados,,,"Veíc..
Agrícolas",Ciclom.,Total
,,,,,C,D,E,,,
,,Braga,197,487,39,11,19,10,5,768
,REGIÃO,Bragança,39,69,17,4,12,4,2,147
,NORTE,Porto,320,884,73,15,20,10,3,1325
,,V. Castelo,72,139,14,8,9,7,1,250
,,Vila Real,46,102,16,3,8,3,2,180
,,,674,1681,159,41,68,34,13,2670
,,Aveiro,140,353,36,5,21,6,9,570
,,C. Branco,43,97,16,5,11,2,4,178
,REGIÃO,Coimbra,98,266,31,7,21,5,5,433
,CENTRO,Guarda,52,108,29,2,12,4,4,211
,,Leiria,105,234,31,5,27,4,10,416
,,Viseu,101,263,41,11,24,6,4,450
,,,539,1321,184,35,116,27,36,2258
,,Lisboa,337,1035,83,15,35,22,12,1539
,REGIÃO LISBOA,Santarém,100,234,46,7,26,10,3,426
,V. TEJO,Setúbal,129,310,24,4,17,5,5,494
,,,566,1579,153,26,78,37,20,2459
,,Beja,45,77,19,4,14,7,3,169
,REGIÃO,Évora,43,87,14,4,8,7,4,167
,ALENTEJO,Portalegre,26,51,12,1,5,5,2,102
,,,114,215,45,9,27,19,9,438
R. ALGARVE,,Faro,113,186,20,7,10,6,18,360
,TOTAL,,2006,4982,561,118,299,123,96,8185
