,,Condutores testados,,,,,,,
,,,,,,,,,
,,,Não Infractores,,Infractores,,,,Cond.
,,TAS não,"TAS<=0,2 g/l","TAS>0,2","TAS>=0,5","TAS>=0,8","TAS>=1,2 g/l",Total,Interv.
,,definida,,,"e <0,8 g/l","e <1,2 g/l",,,
,,,,"e <=0,49 g/l",,,,,
Veículos,2001,209,42068,612,223,342,767,1332,52548
Ligeiros,2002,391,43032,694,261,367,866,1494,52736
,,,,,,,,,
,02/01,182,964,82,38,25,99,162,188
Veículos,2001,8,3073,30,11,11,10,32,3502
Pesados,2002,20,2949,26,7,4,12,23,3292
,,,,,,,,,
,02/01,12,-124,-4,-4,-7,2,-9,-210
,2001,11,711,7,3,6,20,29,1426
Velocípedes,2002,20,782,15,3,3,24,30,1410
,,,,,,,,,
,02/01,9,71,8,0,-3,4,1,-16
,2001,64,4362,121,32,45,196,273,7192
Ciclomotores,2002,117,3907,131,22,47,169,238,6172
,,,,,,,,,
,02/01,53,-455,10,-10,2,-27,-35,-1020
,2001,36,3566,46,23,11,48,82,5297
Motociclos,2002,55,3389,53,11,24,65,100,4813
,,,,,,,,,
,02/01,19,-177,7,-12,13,17,18,-484
Outros,2001,2,388,8,4,1,4,9,559
Veículos,2002,6,380,9,2,2,4,8,556
,,,,,,,,,
,02/01,4,-8,1,-2,1,0,-1,-3
,2001,330,54168,824,296,416,1045,1757,70524
Total,2002,609,54439,928,306,447,1140,1893,68979
,,,,,,,,,
,02/01,279,271,104,10,31,95,136,-1545
