,,,,,,,,,,,,,,
,Mortos,,,,,,,Feridos graves,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,Motoc*,,Total,,Ligeiro*,,,,,Total
,Peões,Ligeiro*,Pesado*,Ciclom*,,Veloc*.,,Peões,,Pesado*,Ciclom*,Motoc*,Veloc*.,
,,,,,,,(2),,,,,,,(2)
REGIÃO,,,,,45,,,,581,,,,,
CENTRO,70,218,4,40,,19,405,179,,28,170,97,42,1109
,,,,,,,,,,,,,,
Aveiro,23,58,1,18,17,10,128,57,141,4,67,31,17,318
,,,,,,,,,,,,,,
C. Branco,4,19,1,2,1,0,29,17,56,1,8,9,4,96
,,,,,,,,,,,,,,
Coimbra,18,29,0,8,12,2,69,20,62,4,17,13,6,122
,,,,,,,,,,,,,,
Guarda,6,16,1,2,4,0,31,16,72,9,12,9,2,122
,,,,,,,,,,,,,,
Leiria,13,61,0,5,8,6,97,45,179,4,45,23,11,311
,,,,,,,,,,,,,,
Viseu,6,35,1,5,3,1,51,24,71,6,21,12,2,140
,,,,,,,,,,,,,,
