,,,,,,,,
,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,
,,,,,,,,
,,,,,,,,
,2001,2002,2001,2002,2001,2002,2001,2002
Ciclomotores (1),145,119,665,535,5727,5026,6537,5680
<=14,1,0,4,4,32,26,37,30
15-19,10,14,103,68,833,660,946,742
20-24,16,9,91,61,761,577,868,647
25-29,14,8,59,61,610,504,683,573
30-34,12,9,61,39,505,422,578,470
35-39,14,5,51,50,497,484,562,539
40-44,9,8,44,42,401,381,454,431
45-49,10,12,47,26,365,334,422,372
50-54,5,9,29,25,278,271,312,305
55-59,5,6,27,34,252,250,284,290
60-64,4,6,38,22,320,275,362,303
>=65,40,32,95,90,783,788,918,910
Velocípedes (1),44,51,136,136,1143,1145,1323,1332
,,,,,,,,
<=14,1,6,35,35,252,270,288,311
15-19,1,2,16,18,161,122,178,142
20-24,1,2,6,7,87,89,94,98
25-29,1,0,7,4,71,68,79,72
30-34,1,2,5,7,62,79,68,88
35-39,3,4,5,6,52,59,60,69
40-44,2,5,6,9,57,65,65,79
45-49,2,6,6,6,59,56,67,68
50-54,1,4,3,7,46,50,50,61
55-59,2,1,3,7,47,42,52,50
60-64,9,3,7,3,43,54,59,60
>=65,19,12,28,22,171,176,218,210
Total (2),838,832,3134,2625,28650,29286,32622,32743
,,,,,,,,
<=14,2,8,40,41,308,308,350,357
15-19,59,61,335,260,2567,2450,2961,2771
20-24,144,127,586,413,5259,4978,5989,5518
25-29,130,116,488,407,4569,4685,5187,5208
30-34,72,93,344,330,3265,3469,3681,3892
35-39,73,76,282,230,2711,2908,3066,3214
40-44,63,74,213,190,2254,2399,2530,2663
45-49,47,62,190,160,1774,1906,2011,2128
50-54,38,48,132,125,1405,1493,1575,1666
55-59,40,30,107,118,1095,1215,1242,1363
60-64,34,31,116,84,1061,1043,1211,1158
,,,,,,,,
>=65,121,99,233,215,1998,2193,2352,2507
