,,Acidentes c/,,Feridos,Feridos,Total de
,,,Mortos,,,
,,vítimas,,graves,leves,vítimas
,,,,,,
,Atropelamentos,2028,86,232,1962,2280
REGIÃO,Colisão,6573,171,476,9255,9902
NORTE,Despiste,2311,115,201,2963,3279
,Total,10912,372,909,14180,15461
,Atropelamentos,522,25,93,478,596
,Colisão,2048,52,153,2968,3173
Braga,Despiste,593,28,71,765,864
,Total,3163,105,317,4211,4633
,Atropelamentos,54,3,13,49,65
,Colisão,196,8,41,294,343
Bragança,Despiste,185,20,15,249,284
,Total,435,31,69,592,692
,Atropelamentos,1208,39,101,1210,1350
,Colisão,3300,67,175,4532,4774
Porto,Despiste,963,46,71,1240,1357
,Total,5471,152,347,6982,7481
,Atropelamentos,139,16,8,130,154
,Colisão,638,23,69,897,989
V.Castelo,Despiste,287,10,16,356,382
,Total,1064,49,93,1383,1525
,Atropelamentos,105,3,17,95,115
,Colisão,391,21,38,564,623
V.Real,Despiste,283,11,28,353,392
,Total,779,35,83,1012,1130
