,,,2001,,2002,
,,,Inspecções,Tx. Rep.,Inspecções,Tx. Rep.
,,Braga,302619,"12,3",351698,"16,9"
REGIÃO,,Bragança,66912,"13,5",85760,"20,2"
NORTE,,Porto,596726,"12,8",721013,"18,1"
,,V. Castelo,98770,"16,6",110325,"21,0"
,,Vila Real,57259,"19,5",62016,"23,2"
,,,1122286,,1330812,
,,Aveiro,326648,"15,0",335381,"19,9"
REGIÃO,,C. Branco,96793,"17,3",108086,"22,3"
CENTRO,,Coimbra,185026,"15,8",213479,"21,1"
,,Guarda,88380,"19,1",101334,"23,2"
,,Leiria,283785,"15,0",321550,"19,0"
,,Viseu,138656,"18,2",153317,"21,1"
,,,1119288,,1233147,
REGIÃO DE,,Lisboa,747114,"17,2",831771,"20,3"
LISBOA,,Santarém,205695,"16,6",235219,"21,0"
E VALE TEJO,,Setúbal,267008,"19,4",293369,"22,5"
,,,1219817,,1360359,
REGIÃO DO,,Beja,47395,"17,7",56876,"20,2"
ALENTEJO,,Évora,81080,"16,6",91327,"19,7"
,,Portalegre,46102,"18,8",51457,"21,4"
,,,174577,,199660,
R. ALGARVE,,Faro,184735,"15,9",213169,"20,7"
TOTAL,,,3.820.703,,4.337.147,
