,,,,,,,,,
,1998,1999,99/98,2000,00/99,2001,01/00,2002,02/01
,,,,,,,,,
Feridos leves,58426,57630,-796,53006,-4624,51247,-1759,51815,568
,,,,,,,,,
<=5,1549,1662,113,1479,-183,1375,-104,1369,-6
6-9,1412,1389,-23,1294,-95,1243,-51,1302,59
10-14,2041,1844,-197,1663,-181,1708,45,1555,-153
15-19,8105,6592,-1513,6094,-498,5155,-939,5103,-52
20-24,10194,9936,-258,8670,-1266,8026,-644,7683,-343
25-29,6954,7287,333,6536,-751,6611,75,6693,82
30-34,4881,5123,242,4781,-342,4725,-56,4986,261
35-39,4207,4275,68,4074,-201,3954,-120,4099,145
40-44,3527,3715,188,3430,-285,3417,-13,3591,174
45-49,3080,3145,65,3020,-125,2884,-136,2977,93
50-54,2663,2661,-2,2578,-83,2468,-110,2551,83
55-59,2315,2237,-78,2081,-156,1987,-94,2132,145
60-64,2261,2154,-107,2009,-145,2043,34,2020,-23
65-69,1954,1904,-50,1775,-129,1833,58,1864,31
70-74,1471,1510,39,1412,-98,1432,20,1537,105
>=75,1590,1709,119,1580,-129,1652,72,1801,149
Não def.,222,487,265,530,43,734,204,552,-182
Total de vítimas,68468,67077,-1391,61553,-5524,58510,-3043,58054,-456
,,,,,,,,,
<=5,1783,1875,92,1651,-224,1498,-153,1486,-12
6-9,1648,1594,-54,1474,-120,1379,-95,1426,47
10-14,2363,2080,-283,1881,-199,1893,12,1742,-151
15-19,9320,7642,-1678,7004,-638,5925,-1079,5689,-236
20-24,11797,11416,-381,10075,-1341,9118,-957,8506,-612
25-29,8053,8414,361,7532,-882,7501,-31,7454,-47
30-34,5690,5862,172,5495,-367,5330,-165,5574,244
35-39,4906,4941,35,4662,-279,4499,-163,4559,60
40-44,4084,4275,191,3971,-304,3849,-122,4013,164
45-49,3535,3632,97,3471,-161,3288,-183,3352,64
50-54,3155,3128,-27,2989,-139,2795,-194,2847,52
55-59,2740,2622,-118,2405,-217,2266,-139,2408,142
60-64,2735,2609,-126,2381,-228,2347,-34,2255,-92
65-69,2398,2334,-64,2166,-168,2145,-21,2155,10
70-74,1854,1847,-7,1731,-116,1737,6,1777,40
>=75,2123,2228,105,2025,-203,2058,33,2143,85
Não def.,284,578,294,640,62,882,242,668,-214
