,,,Grupos etários,,,,,,,,,,,,
,,,<=14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,>=65,Total(1)
Velocidade,,2001,57,1325,3524,3173,2348,1908,1581,1213,1017,677,582,798,18641
,Velocidade,,,,,,,,,,,,,,
Excessiva,,2002,66,1281,3206,3002,2350,1881,1588,1263,964,747,526,829,18016
,Excessiva,,,,,,,,,,,,,,
,,02/01,9,-44,-318,-171,2,-27,7,50,-53,70,-56,31,-625
,,,,,,,,,,,,,,,
Desrespeito de,,2001,76,527,1298,1115,871,797,658,590,507,386,336,624,7910
,Desrespeito de,,,,,,,,,,,,,,
cedência de,,2002,67,465,1081,1082,845,765,659,512,492,393,309,664,7443
,cedência de,,,,,,,,,,,,,,
passagem,,02/01,-9,-62,-217,-33,-26,-32,1,-78,-15,7,-27,40,-467
,passagem,,,,,,,,,,,,,,
Desrespeito stop,,2001,28,207,577,552,432,431,296,282,237,192,168,298,3766
,Desrespeito stop,,,,,,,,,,,,,,
ou sinal vermelho,,2002,19,213,509,541,396,355,306,261,254,181,172,317,3569
,ou sinal vermelho,,,,,,,,,,,,,,
,,02/01,-9,6,-68,-11,-36,-76,10,-21,17,-11,4,19,-197
,,,,,,,,,,,,,,,
Ultrapassagem,,2001,10,244,529,436,352,296,232,197,147,142,110,190,2958
,Ultrapassagem,,,,,,,,,,,,,,
irregular,,2002,10,196,425,419,318,272,234,176,167,129,117,206,2732
,irregular,,,,,,,,,,,,,,
,,02/01,0,-48,-104,-17,-34,-24,2,-21,20,-13,7,16,-226
,,,,,,,,,,,,,,,
Distracção ou,,2001,42,273,823,713,623,552,498,410,334,260,218,402,5271
,Distracção ou,,,,,,,,,,,,,,
Sonolência,,2002,41,289,847,828,695,557,503,435,341,276,230,426,5556
,Sonolência,,,,,,,,,,,,,,
,,02/01,-1,16,24,115,72,5,5,25,7,16,12,24,285
,,,,,,,,,,,,,,,
Desvio brusco ou,,2001,25,185,458,433,342,289,247,209,174,116,116,186,2863
,Desvio brusco ou,,,,,,,,,,,,,,
saída fila trânsito,,2002,15,140,389,431,348,248,259,186,179,124,96,163,2615
,saída fila trânsito,,,,,,,,,,,,,,
,,02/01,-10,-45,-69,-2,6,-41,12,-23,5,8,-20,-23,-248
,,,,,,,,,,,,,,,
,,2001,40,328,804,813,636,575,499,382,318,260,236,367,5363
,,,,,,,,,,,,,,,
Outras,,2002,33,264,688,670,595,552,460,376,277,222,207,352,4759
,Outras,,,,,,,,,,,,,,
,,02/01,-7,-64,-116,-143,-41,-23,-39,-6,-41,-38,-29,-15,-604
,,,,,,,,,,,,,,,
,,2001,129,1447,3798,3605,2734,2350,2032,1636,1370,1014,804,1301,23183
,,,,,,,,,,,,,,,
Não identificada,,2002,131,1391,3697,3732,2872,2450,2168,1705,1406,1150,888,1416,23598
,Não identificada,,,,,,,,,,,,,,
,,02/01,2,-56,-101,127,138,100,136,69,36,136,84,115,415
,,,,,,,,,,,,,,,
,,2001,2,24,61,54,36,23,34,17,15,13,7,15,569
,,,,,,,,,,,,,,,
Não definida,,2002,7,33,81,88,74,63,31,40,33,22,15,27,691
,Não definida,,,,,,,,,,,,,,
,,02/01,5,9,20,34,38,40,-3,23,18,9,8,12,122
,,,,,,,,,,,,,,,
,,2001,409,4560,11872,10894,8374,7221,6077,4936,4119,3060,2577,4181,70524
Total,,2002,389,4272,10923,10793,8493,7143,6208,4954,4113,3244,2560,4400,68979
,Total,,,,,,,,,,,,,,
,,02/01,-20,-288,-949,-101,119,-78,131,18,-6,184,-17,219,-1545
