,,,,,,,,
,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,
,,,,,,,,
,2001,2002,2001,2002,2001,2002,2001,2002
Dentro das localidades,195,197,959,794,6128,6090,7282,7081
Segunda-feira,27,26,146,112,947,985,1120,1123
Terça-feira,23,30,157,125,911,938,1091,1093
Quarta-feira,30,31,126,117,976,903,1132,1051
Quinta-feira,29,25,133,123,947,940,1109,1088
Sexta-feira,31,34,161,135,1017,992,1209,1161
Sábado,36,26,117,110,734,736,887,872
Domingo,19,25,119,72,596,596,734,693
Fora das localidades,101,100,139,112,461,437,701,649
Segunda-feira,12,11,22,15,71,66,105,92
Terça-feira,13,13,13,19,68,62,94,94
Quarta-feira,12,13,17,18,48,65,77,96
Quinta-feira,20,10,20,10,73,46,113,66
Sexta-feira,16,19,22,11,64,78,102,108
Sábado,14,11,24,14,74,62,112,87
Domingo,14,23,21,25,63,58,98,106
Total,296,297,1098,906,6589,6527,7983,7730
Segunda-feira,39,37,168,127,1018,1051,1225,1215
Terça-feira,36,43,170,144,979,1000,1185,1187
Quarta-feira,42,44,143,135,1024,968,1209,1147
Quinta-feira,49,35,153,133,1020,986,1222,1154
Sexta-feira,47,53,183,146,1081,1070,1311,1269
Sábado,50,37,141,124,808,798,999,959
Domingo,33,48,140,97,659,654,832,799
