,,,,,,,,,,,,
,Acidentes c/,,Vítimas,,Feridos,,,,Total de,,Índice de,
,,,,,,,Feridos leves,,,,,
,vítimas,,mortais,,graves,,,,vítimas,,gravidade,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,2001,2002,2001,2002,2001,2002,2001,2002,2001,2002,2001,2002
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
00-03,2478,2479,141,140,471,407,3105,3222,3717,3769,"5,7","5,6"
,,,,,,,,,,,,
03-06,1547,1527,107,100,333,263,1891,1912,2331,2275,"6,9","6,5"
,,,,,,,,,,,,
06-09,4605,4520,195,196,655,518,5480,5395,6330,6109,"4,2","4,3"
,,,,,,,,,,,,
09-12,5840,5981,151,140,612,529,6849,7197,7612,7866,"2,6","2,3"
,,,,,,,,,,,,
12-15,7274,7199,186,149,847,657,8587,8699,9620,9505,"2,6","2,1"
,,,,,,,,,,,,
15-18,7948,8019,203,223,954,854,9706,10012,10863,11089,"2,6","2,8"
,,,,,,,,,,,,
18-21,8411,8252,298,318,1148,973,10037,9937,11483,11228,"3,5","3,9"
,,,,,,,,,,,,
21-24,4418,4242,185,203,777,569,5592,5441,6554,6213,"4,2","4,8"
Total,42521,42219,1466,1469,5797,4770,51247,51815,58510,58054,"3,4","3,5"
