,,,Parque,Acid. c/,,,
,,Acidentes,,,,População,Mortos/100 000
,,,circulação,vítimas/1000,Mortos,,
,,com vítimas,,,,(2),habitantes
,,,(1),veíc. circ.,,,
,,,,,,,
,Braga,2772,401533,"6,9",77,851337,"9,0"
REGIÃO,Bragança,447,87686,"5,1",28,145486,"19,2"
NORTE,Porto,5378,829982,"6,5",111,1805015,"6,1"
,V. Castelo,832,118356,"7,0",29,251937,"11,5"
,Vila Real,676,119241,"5,7",29,221218,"13,1"
,,10105,1556798,"6,5",274,3274993,"8,4"
,,,,,,,
,Aveiro,3138,422532,"7,4",67,727041,"9,2"
REGIÃO,C. Branco,689,111777,"6,2",29,203314,"14,3"
CENTRO,Coimbra,2204,253012,"8,7",72,437642,"16,5"
,Guarda,535,98344,"5,4",19,176086,"10,8"
,Leiria,2642,310706,"8,5",71,472895,"15,0"
,Viseu,1520,211643,"7,2",50,395202,"12,7"
,,10728,1408014,"7,6",308,2412180,"12,8"
REGIÃO DE,Lisboa,7303,1263344,"5,8",136,2203503,"6,2"
LISBOA,Santarém,2257,279119,"8,1",91,463676,"19,6"
E VALE,,,,,,,
,Setúbal,2639,353856,"7,5",101,829007,"12,2"
TEJO,,,,,,,
,,,,,,,
,,12199,1896319,"6,4",328,3496186,"9,4"
REGIÃO DO,Beja,611,85653,"7,1",38,156153,"24,3"
ALENTEJO,Évora,677,100684,"6,7",44,171130,"25,7"
,Portalegre,360,65545,"5,5",28,121653,"23,0"
,,1648,251882,"6,5",110,448936,"24,5"
R. ALGARVE,Faro,2386,253237,"9,4",74,411468,"18,0"
,,,,,,,
TOTAL,,37066,5366250,"6,9",1094,10043763,"10,9"
,,,,,,,
