,,Feridos leves,,,,,,,,,,,,
,,<=14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,>=65,"Total
(1)"
,2004,1282,349,289,286,288,291,314,325,314,299,319,1418,5849
Peões,2005,1215,374,271,255,259,296,302,287,284,334,300,1348,5568
,05/04,-67,25,-18,-31,-29,5,-12,-38,-30,35,-19,-70,-281
Veículo,2004,2212,2383,4836,4258,3222,2464,2270,1955,1686,1370,1098,2384,30381
Ligeiro*,2005,1974,2252,4501,3959,3128,2488,2209,1850,1652,1351,1066,2336,28968
,05/04,-238,-131,-335,-299,-94,24,-61,-105,-34,-19,-32,-48,-1413
Veículo,2004,44,39,60,98,111,92,92,88,93,72,56,110,974
Pesado*,2005,56,49,76,105,119,112,101,112,108,76,59,80,1071
,05/04,12,10,16,7,8,20,9,24,15,4,3,-30,97
,2004,303,178,73,76,57,73,76,69,64,54,42,172,1262
Velocípede**,2005,247,181,77,71,69,105,73,63,81,45,49,206,1291
,05/04,-56,3,4,-5,12,32,-3,-6,17,-9,7,34,29
,2004,92,663,448,477,488,479,450,405,319,256,303,839,5246
Ciclomotor*,2005,82,561,398,385,405,401,433,328,289,253,239,778,4583
,05/04,-10,-102,-50,-92,-83,-78,-17,-77,-30,-3,-64,-61,-663
,2004,38,617,732,806,537,321,233,192,99,64,56,95,3826
Motociclo*,2005,46,587,706,780,522,353,216,184,99,77,42,90,3725
,05/04,8,-30,-26,-26,-15,32,-17,-8,0,13,-14,-5,-101
,2004,3986,4235,6451,6013,4718,3740,3441,3044,2596,2144,1899,5123,47819
Total (2),2005,3627,4013,6045,5560,4512,3761,3350,2843,2529,2152,1783,4969,45487
,05/04,-359,-222,-406,-453,-206,21,-91,-201,-67,8,-116,-154,-2332
