,,,Veículos de instrução,,,,,,,
,,,Motoc.,Ligeiros,Pesados,,,"Veíc..
Agrícolas",Ciclom.,Total
,,,,,C,D,E,,,
,,Braga,212,362,8,9,22,6,6,625
,REGIÃO,Bragança,44,63,4,4,10,,2,127
,NORTE,Porto,343,648,23,9,29,,5,1057
,,V. Castelo,68,92,,1,12,,2,175
,,Vila Real,62,100,8,3,10,,2,185
,,,729,1265,43,26,83,6,17,2169
,,Aveiro,142,254,8,3,25,2,9,443
,,C. Branco,52,89,2,,12,1,1,157
,REGIÃO,Coimbra,117,212,8,3,20,3,3,366
,CENTRO,Guarda,53,95,4,2,12,,4,170
,,Leiria,111,169,7,4,19,3,5,318
,,Viseu,102,188,14,4,18,,2,328
,,,577,1007,43,16,106,9,24,1782
,,Lisboa,360,929,29,13,36,3,6,1376
,REGIÃO LISBOA,Santarém,130,188,16,3,15,5,3,360
,V. TEJO,Setúbal,142,258,7,4,14,,1,426
,,,632,1375,52,20,65,8,10,2162
,,Beja,45,61,2,4,12,3,,127
,REGIÃO,Évora,44,70,6,1,5,5,3,134
,ALENTEJO,Portalegre,28,46,5,1,6,3,1,90
,,,117,177,13,6,23,11,4,351
,R. ALGARVE,Faro,102,163,7,4,14,,6,296
,TOTAL,,2157,3987,158,72,291,34,61,6760
