,,Feridos graves,,,,,,,,,,,,
,,<=14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,>=65,"Total
(1)"
,2004,143,33,24,25,40,37,39,27,37,35,57,257,766
Peões,2005,102,27,31,34,24,35,51,42,41,33,54,232,714
,05/04,-41,-6,7,9,-16,-2,12,15,4,-2,-3,-25,-52
Veículo,2004,104,196,366,263,239,183,162,140,110,87,69,157,2097
Ligeiro*,2005,73,171,310,262,212,146,136,105,107,81,61,150,1830
,05/04,-31,-25,-56,-1,-27,-37,-26,-35,-3,-6,-8,-7,-267
Veículo,2004,4,0,5,13,11,9,6,7,7,4,1,3,70
Pesado*,2005,5,2,9,7,3,7,9,6,5,3,4,6,66
,05/04,1,2,4,-6,-8,-2,3,-1,-2,-1,3,3,-4
,2004,22,18,8,4,5,5,7,10,4,6,1,29,124
Velocípede**,2005,32,13,6,7,8,7,10,4,12,9,5,21,137
,05/04,10,-5,-2,3,3,2,3,-6,8,3,4,-8,13
,2004,7,63,48,44,60,50,37,39,39,29,25,86,536
Ciclomotor*,2005,13,47,49,38,39,38,31,48,41,14,26,75,461
,05/04,6,-16,1,-6,-21,-12,-6,9,2,-15,1,-11,-75
,2004,7,87,134,110,77,48,33,18,9,6,6,10,556
Motociclo*,2005,4,83,102,116,91,48,37,17,7,6,2,11,524
,05/04,-3,-4,-32,6,14,0,4,-1,-2,0,-4,1,-32
,2004,288,401,586,462,433,335,286,244,207,171,162,555,4190
Total (2),2005,229,343,508,464,379,284,277,223,215,146,154,511,3762
,05/04,-59,-58,-78,2,-54,-51,-9,-21,8,-25,-8,-44,-428
