,,,,,,,,
,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,
,,,,,,,,
,2004,2005,2004,2005,2004,2005,2004,2005
Atravessando a via,11,13,56,35,395,379,462,427
Circulação sentido oposto estabelec.,31,21,51,43,256,233,338,297
Desvio brusco/ saída de fila de trânsito,82,80,177,142,1362,1161,1621,1383
Em marcha normal,412,446,1635,1484,18611,18469,20658,20399
Início de marcha,15,13,40,44,595,532,650,589
Inversão do sentido de marcha,3,3,12,11,91,100,106,114
Marcha atrás,0,1,4,3,50,42,54,46
Mudança de direcção para a direita,5,2,16,18,366,331,387,351
Mudança de direcção para a esquerda,19,27,117,115,1895,1635,2031,1777
Mudança de via de trânsito para a dir.,2,2,8,5,94,80,104,87
Mudança de via de trânsito para a esq.,7,9,13,18,247,190,267,217
Parado ou estacionado,7,4,32,31,771,709,810,744
Saída de parqueam. ou rua particular,8,2,29,27,255,241,292,270
Trânsito em filas paralelas,1,1,4,1,38,28,43,30
Travagem brusca,12,2,23,21,469,417,504,440
Ultrapassagem pela direita,3,1,8,10,114,83,125,94
Ultrapassagem pela esquerda,43,35,116,98,1113,982,1272,1115
Total (1),677,674,2381,2143,27145,25988,30203,28805
,,,,,,,,
