,,,,,,,,,,,,,,
,Feridos leves,,,,,,,Total de vítimas,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,Total,,,,,,,Total
,Peões,Ligeiro*,Pesado*,Ciclom*,Motoc*,Veloc*.,,Peões,Ligeiro*,Pesado*,Ciclom*,Motoc*,Veloc*.,
,,,,,,,(1),,,,,,,(1)
REGIÃO,,,,,,,,,,,,,,
NORTE,1699,8485,303,1154,995,282,12982,1948,8985,318,1302,1182,321,14137
,,,,,,,,,,,,,,
Braga,382,2584,55,329,249,70,3682,460,2733,58,372,292,79,4011
Bragança,40,409,18,20,27,11,538,59,466,23,27,46,13,654
Porto,1075,4048,152,682,602,153,6727,1198,4229,156,763,703,174,7238
V.Castelo,127,792,50,74,66,29,1153,133,841,50,85,76,34,1238
V.Real,75,652,28,49,51,19,882,98,716,31,55,65,21,996
