,,,,,,,,
Distrito de Faro,,,,,,,,
,,,,,,,,
Código,Km,km,Nº de,Nº de,Nº de,Nº de,Nº de,Indicador de
da via,Inicial,Final,Acidentes,Veículos,Mortos,F.Graves,F.Leves,Gravidade
EN125,"19,800","20,000",5,9,0,2,6,38
EN125,"36,500","36,500",5,9,1,0,4,112
EN125,"50,600","50,800",6,14,0,0,10,30
EN125,"98,640","98,800",9,20,0,1,11,43
EN125,"100,400","100,600",10,23,1,1,11,143
EN125,"108,500","108,700",5,9,0,3,5,45
EN125,"110,500","110,700",6,14,0,1,8,34
EN125,"113,400","113,600",7,13,0,1,6,28
EN2,"733,500","733,600",5,12,0,1,6,28
EN396,"25,500","25,700",5,7,0,2,6,38
,,,63,130,2,12,73,539
