,,,,,,,,
,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,
,,,,,,,,
,2004,2005,2004,2005,2004,2005,2004,2005
Abertura de porta,1,0,1,3,19,13,21,16
Ausência de luzes quando obrigatórias,10,2,6,8,45,35,61,45
Circulação afastada berma ou passeio,8,4,17,24,216,152,241,180
Desrespeito da sinalização semafórica,7,5,19,7,175,134,201,146
Desrespeito da sinalização vertical,22,29,99,89,1202,1037,1323,1155
Desrespeito distâncias de segurança,6,3,38,25,606,540,650,568
Desrespeito das marcas rodoviárias,15,11,32,43,246,216,293,270
Encandeamento,1,2,9,8,204,202,214,212
Falha mecânica do veiculo,2,1,6,10,169,153,177,164
Manobra irregular,56,39,174,141,1443,1272,1673,1452
Não definida,53,36,352,203,6451,3649,6856,3888
Não identificada,239,308,809,938,8140,11817,9188,13063
Não sinalização da manobra,2,2,16,8,169,64,187,74
Obstáculo imprevisto faixa de rodagem,7,5,43,29,655,536,705,570
Queda de carga ou objecto,2,0,1,1,25,23,28,24
Rebentamento de pneumático,2,2,7,9,190,170,199,181
Veloc. exc. para condições existentes,244,225,752,597,7190,5975,8186,6797
Total,677,674,2381,2143,27145,25988,30203,28805
