,,,,,,
,Feminino,,Masculino,,Total(1),
,,,,,,
,2004,2005,2004,2005,2004,2005
Vítimas mortais,78,55,126,133,204,188
,,,,,,
<=5,3,2,5,3,8,5
6-9,3,0,6,1,9,1
10-14,3,1,2,2,5,3
15-19,2,,4,1,6,1
20-24,6,2,4,5,10,7
25-29,2,0,4,4,6,4
30-34,2,3,7,7,9,10
35-39,2,0,11,9,13,9
40-44,4,2,7,11,11,13
45-49,3,1,7,11,10,12
50-54,2,4,3,11,5,15
55-59,6,3,7,13,13,16
60-64,3,3,12,9,15,12
65-69,8,7,12,11,20,18
70-74,13,12,12,18,25,30
>=75,16,13,18,15,34,28
Não def.,0,2,5,2,5,4
Feridos Graves,328,313,438,401,766,714
,,,,,,
<=5,12,9,26,22,38,31
6-9,17,7,31,20,48,27
10-14,25,18,32,26,57,44
15-19,12,15,21,12,33,27
20-24,11,16,13,15,24,31
25-29,10,15,15,19,25,34
30-34,11,9,29,15,40,24
35-39,16,12,21,23,37,35
40-44,13,15,26,36,39,51
45-49,9,15,18,27,27,42
50-54,17,20,20,21,37,41
55-59,19,15,16,18,35,33
60-64,21,31,36,23,57,54
65-69,32,26,31,36,63,62
70-74,29,27,28,27,57,54
>=75,68,63,69,53,137,116
Não def.,6,0,6,8,12,8
