,,,,,,,,
,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,
,,,,,,,,
,2004,2005,2004,2005,2004,2005,2004,2005
Dentro das localidades(1),134,113,678,626,5555,5302,6367,6041
,,,,,,,,
A sair ou entrar num veículo,4,1,9,13,103,106,116,120
Atravessamento em passagem sinalizada,10,10,160,163,1659,1671,1829,1844
Atrav. passag. sinalizada c/ desrespeito,,,,,,,,
,3,1,17,20,112,122,132,143
sinal. semafórica,,,,,,,,
,,,,,,,,
Atrav. fora passagem peões a mais de,,,,,,,,
,20,23,71,62,517,462,608,547
50m de passag. ou qd não exista passag,,,,,,,,
,,,,,,,,
Atrav. fora passagem peões a menos de,,,,,,,,
,18,11,119,94,683,603,820,708
50m de passagem,,,,,,,,
,,,,,,,,
Em ilhéu ou refúgio na via,1,1,4,4,58,43,63,48
Em plena faixa de rodagem,32,30,92,75,713,696,837,801
Em trabalhos na via,0,,10,7,35,32,45,39
Surgindo inesperadamente faixa rodagem,13,12,83,98,828,788,924,898
Transitando pela berma ou passeio,11,13,58,35,385,379,454,427
Transitando pela direita faixa de rodagem,11,5,24,25,201,179,236,209
Transitando pela esquerda faixa rodagem,6,3,13,9,124,104,143,116
Fora das localidades(1),70,75,88,88,294,266,452,429
,,,,,,,,
A sair ou entrar num veículo,2,4,4,1,15,13,21,18
Atravessamento em passagem sinalizada,2,,2,3,14,11,18,14
Atrav. passag. sinalizada c/ desrespeito,,,,,,,,
,0,0,0,0,0,1,0,1
sinal. semafórica,,,,,,,,
,,,,,,,,
Atrav. fora passagem peões a mais de,,,,,,,,
,12,17,13,10,40,33,65,60
50m de passag. ou qd não exista passag,,,,,,,,
,,,,,,,,
Atrav. fora passagem peões a menos de,,,,,,,,
,2,2,2,1,12,6,16,9
50m de passagem,,,,,,,,
,,,,,,,,
Em ilhéu ou refúgio na via,0,1,0,1,4,3,4,5
Em plena faixa de rodagem,23,29,31,29,62,52,116,110
Em trabalhos na via,,3,1,3,10,14,11,20
Surgindo inesperadamente faixa rodagem,12,3,8,15,35,34,55,52
Transitando pela berma ou passeio,5,6,12,7,39,36,56,49
Transitando pela direita faixa de rodagem,5,7,7,11,23,30,35,48
Transitando pela esquerda faixa rodagem,2,1,3,5,21,24,26,30
Total(1),204,188,766,714,5849,5568,6819,6470
,,,,,,,,
A sair ou entrar num veículo,6,5,13,14,118,119,137,138
Atravessamento em passagem sinalizada,12,10,162,166,1673,1682,1847,1858
Atrav. passag. sinalizada c/ desrespeito,,,,,,,,
,3,1,17,20,112,123,132,144
sinal. semafórica,,,,,,,,
,,,,,,,,
Atrav. fora passagem peões a mais de,,,,,,,,
,32,40,84,72,557,495,673,607
50m de passag. ou qd não exista passag,,,,,,,,
,,,,,,,,
Atrav. fora passagem peões a menos de,,,,,,,,
,20,13,121,95,695,609,836,717
50m de passagem,,,,,,,,
,,,,,,,,
Em ilhéu ou refúgio na via,1,2,4,5,62,46,67,53
Em plena faixa de rodagem,55,59,123,104,775,748,953,911
Em trabalhos na via,0,3,11,10,45,46,56,59
Surgindo inesperadamente faixa rodagem,25,15,91,113,863,822,979,950
Transitando pela berma ou passeio,16,19,70,42,424,415,510,476
Transitando pela direita faixa de rodagem,16,12,31,36,224,209,271,257
Transitando pela esquerda faixa rodagem,8,4,16,14,145,128,169,146
