,,,,,,,,
,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,
,,,,,,,,
,2004,2005,2004,2005,2004,2005,2004,2005
00-03,64,54,187,182,1429,1544,1680,1780
03-06,43,57,139,122,889,897,1071,1076
06-09,89,64,247,202,2989,2935,3325,3201
09-12,67,73,266,251,3901,3816,4234,4140
12-15,89,75,308,323,4902,4636,5299,5034
15-18,106,134,444,350,5253,5038,5803,5522
18-21,139,139,494,419,5106,4721,5739,5279
21-24,80,78,296,294,2676,2401,3052,2773
Total,677,674,2381,2143,27145,25988,30203,28805
,,,,,,,,
