,,,,,,
,Feminino,,Masculino,,Total(1),
,,,,,,
,2004,2005,2004,2005,2004,2005
Vítimas mortais,49,59,627,608,677,674
,,,,,,
<=14,0,0,2,5,2,5
15-19,0,3,38,37,39,41
20-24,10,8,83,86,93,94
25-29,6,4,99,77,105,81
30-34,6,9,71,66,77,77
35-39,7,6,61,62,68,68
40-44,4,6,51,49,55,55
45-49,5,6,35,37,40,43
50-54,1,6,34,43,35,50
55-59,2,5,37,29,39,35
60-64,2,2,32,28,34,30
65-69,3,2,35,35,38,37
70-74,1,1,22,25,23,27
>=75,2,1,21,27,23,28
Não def.,0,0,6,2,6,3
Feridos graves,303,259,2065,1868,2381,2143
<=14,2,4,24,30,26,35
15-19,19,14,180,157,201,173
20-24,51,35,343,272,394,308
25-29,46,46,288,278,335,327
30-34,46,34,247,244,297,281
35-39,28,23,205,168,233,193
40-44,31,29,161,156,192,185
45-49,25,22,141,122,166,145
50-54,17,15,109,104,126,119
55-59,16,15,86,80,102,95
60-64,9,9,65,63,74,72
65-69,3,3,69,61,72,64
70-74,4,6,66,61,70,68
>=75,2,3,62,66,65,69
Não def.,4,1,19,6,28,9
