,Acidentes c/,,Vítimas,,Feridos,,,,Total de,,Índice de,
,,,,,,,Feridos leves,,,,,
,vítimas,,mortais,,graves,,,,vítimas,,gravidade,
,,,,,,,,,,,,
,,,,,,,,,,,,
,2004,2005,2004,2005,2004,2005,2004,2005,2004,2005,2004,2005
,,,,,,,,,,,,
,,,,,,,,,,,,
GNR,27259,26021,1004,964,3057,2749,34466,32764,38527,36477,"3,7","3,7"
,,,,,,,,,,,,
Janeiro,2076,1998,83,69,250,200,2517,2470,2850,2739,"4,0","3,5"
Fevereiro,1941,1878,78,91,231,212,2415,2283,2724,2586,"4,0","4,8"
,,,,,,,,,,,,
Março,2124,2070,67,71,246,195,2568,2664,2881,2930,"3,2","3,4"
,,,,,,,,,,,,
Abril,2258,1876,75,66,225,191,2858,2366,3158,2623,"3,3","3,5"
Maio,2222,1998,79,86,275,175,2795,2451,3149,2712,"3,6","4,3"
,,,,,,,,,,,,
Junho,2324,2202,79,79,302,242,2915,2725,3296,3046,"3,4","3,6"
,,,,,,,,,,,,
Julho,2586,2558,108,90,299,297,3245,3257,3652,3644,"4,2","3,5"
Agosto,2739,2552,115,86,321,314,3778,3344,4214,3744,"4,2","3,4"
,,,,,,,,,,,,
Setembro,2124,2125,73,88,235,228,2734,2723,3042,3039,"3,4","4,1"
,,,,,,,,,,,,
Outubro,2525,2436,98,85,243,253,3217,3063,3558,3401,"3,9","3,5"
Novembro,2147,2077,81,70,227,212,2654,2560,2962,2842,"3,8","3,4"
,,,,,,,,,,,,
Dezembro,2193,2251,68,83,203,230,2770,2858,3041,3171,"3,1","3,7"
,,,,,,,,,,,,
PSP,11671,11045,131,130,1133,1013,13353,12723,14617,13866,"1,1","1,2"
Janeiro,996,860,12,14,111,63,1127,990,1250,1067,"1,2","1,6"
,,,,,,,,,,,,
Fevereiro,869,865,12,15,90,73,986,1015,1088,1103,"1,4","1,7"
,,,,,,,,,,,,
Março,990,840,7,11,83,68,1119,978,1209,1057,"0,7","1,3"
Abril,909,836,11,8,94,89,1028,936,1133,1033,"1,2","1,0"
,,,,,,,,,,,,
Maio,981,873,12,7,109,85,1109,976,1230,1068,"1,2","0,8"
,,,,,,,,,,,,
Junho,1043,900,6,8,97,74,1212,1021,1315,1103,"0,6","0,9"
Julho,984,1020,8,10,86,110,1178,1154,1272,1274,"0,8","1,0"
,,,,,,,,,,,,
Agosto,854,863,12,6,100,82,1025,1020,1137,1108,"1,4","0,7"
,,,,,,,,,,,,
Setembro,953,995,12,13,86,79,1085,1174,1183,1266,"1,3","1,3"
Outubro,1014,1070,14,16,93,105,1141,1248,1248,1369,"1,4","1,5"
,,,,,,,,,,,,
Novembro,1035,939,12,7,102,88,1126,1070,1240,1165,"1,2","0,7"
,,,,,,,,,,,,
Dezembro,1043,984,13,15,82,97,1217,1141,1312,1253,"1,2","1,5"
,,,,,,,,,,,,
Total,38930,37066,1135,1094,4190,3762,47819,45487,53144,50343,"2,9","3,0"
,,,,,,,,,,,,
