,,,,,,,,
,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,
,,,,,,,,
,2004,2005,2004,2005,2004,2005,2004,2005
Dentro das localidades,134,113,678,626,5555,5302,6367,6041
,,,,,,,,
Janeiro,10,16,72,51,498,463,580,530
Fevereiro,17,11,52,36,431,383,500,430
Março,11,6,62,36,481,435,554,477
Abril,8,9,54,53,418,380,480,442
Maio,9,9,61,48,452,439,522,496
Junho,10,6,50,51,494,420,554,477
Julho,11,9,46,55,444,438,501,502
Agosto,10,10,50,41,390,379,450,430
Setembro,6,9,54,52,410,481,470,542
Outubro,10,9,53,57,442,539,505,605
Novembro,17,7,68,77,565,448,650,532
Dezembro,15,12,56,69,530,497,601,578
Fora das localidades,70,75,88,88,294,266,452,429
,,,,,,,,
Janeiro,6,5,12,6,22,26,40,37
Fevereiro,8,8,8,12,28,24,44,44
Março,4,2,11,5,29,14,44,21
Abril,2,8,4,5,20,20,26,33
Maio,5,7,1,7,20,24,26,38
Junho,9,6,8,6,25,19,42,31
Julho,3,1,4,6,33,19,40,26
Agosto,5,5,7,9,21,22,33,36
Setembro,5,5,12,6,21,20,38,31
Outubro,4,15,8,7,28,27,40,49
Novembro,10,5,10,11,20,26,40,42
Dezembro,9,8,3,8,27,25,39,41
Total,204,188,766,714,5849,5568,6819,6470
,,,,,,,,
Janeiro,16,21,84,57,520,489,620,567
Fevereiro,25,19,60,48,459,407,544,474
Março,15,8,73,41,510,449,598,498
Abril,10,17,58,58,438,400,506,475
Maio,14,16,62,55,472,463,548,534
Junho,19,12,58,57,519,439,596,508
Julho,14,10,50,61,477,457,541,528
Agosto,15,15,57,50,411,401,483,466
Setembro,11,14,66,58,431,501,508,573
Outubro,14,24,61,64,470,566,545,654
Novembro,27,12,78,88,585,474,690,574
Dezembro,24,20,59,77,557,522,640,619
