,,,,,,
,Feminino,,Masculino,,Total(1),
,,,,,,
,2004,2005,2004,2005,2004,2005
Feridos leves,8649,8072,6159,5832,14825,13931
,,,,,,
<=14,1189,1074,1207,1084,2397,2159
15-19,884,897,944,919,1829,1821
20-24,1020,970,991,960,2012,1936
25-29,807,735,659,632,1467,1368
30-34,584,563,457,446,1041,1012
35-39,486,459,322,322,811,782
40-44,532,484,276,293,810,778
45-49,509,470,259,237,768,708
50-54,509,478,217,219,730,698
55-59,485,405,160,170,647,575
60-64,421,392,162,130,584,523
65-69,398,382,128,123,526,505
70-74,337,336,129,98,467,436
>=75,396,356,168,144,564,501
Não def.,92,71,80,55,172,129
Total de vítimas,9226,8550,6879,6490,16122,15068
,,,,,,
<=14,1255,1112,1278,1150,2534,2263
15-19,953,961,1064,1039,2018,2005
20-24,1074,1042,1147,1096,2222,2144
25-29,855,784,739,706,1595,1491
30-34,623,603,529,494,1152,1100
35-39,518,486,369,366,890,854
40-44,569,504,315,331,886,836
45-49,547,492,289,259,836,752
50-54,543,505,239,251,786,757
55-59,522,431,173,186,697,617
60-64,446,412,174,141,621,554
65-69,425,401,142,135,567,536
70-74,356,358,146,107,503,467
>=75,438,383,181,163,619,547
Não def.,102,76,94,66,196,145
