,,,CONTRA-ORDENAÇÕES,,,
,,,M. Graves,Graves,Leves,Total (1)
,,Braga,3 036,12 615,53 195,68 855
REGIÃO,,Bragança,1 076,4 306,11 131,16 513
NORTE,,Porto,5 056,34 570,232 077,271 722
,,V. Castelo,1 347,4 098,19 930,25 378
,,Vila Real,1 406,5 074,16 283,22 763
,,,11 921,60 663,332 616,405 231
,,Aveiro,3 670,17 919,61 064,82 657
,,C. Branco,1 105,6 516,16 027,23 648
REGIÃO,,Coimbra,1 724,10 657,42 337,54 718
CENTRO,,Guarda,940,4 869,15 793,21 602
,,Leiria,2 953,13 993,50 684,67 634
,,Viseu,1 387,6 990,41 529,49 907
,,,11 779,60 944,227 434,300 166
,REGIÃO DE,Lisboa,11 132,60 146,270 600,341 891
,LISBOA,Santarém,2 354,12 007,40 824,55 186
,E VALE TEJO,Setúbal,3 361,16 353,42 273,61 988
,,,16 847,88 506,353 697,459 065
,,Beja,1 043,3 305,15 136,19 486
REGIÃO DO,,Évora,906,3 139,15 635,19 681
ALENTEJO,,Portalegre,1 053,4 005,13 230,18 288
,,,3 002,10 449,44 001,57 455
R. ALGARVE,,Faro,3 048,11 834,39 719,54 604
TOTAL,,,46 597,232 396,997 467,1 276 521
,,,,,,
