,,Categoria das cartas de condução,,,,,,,,,
,,,,,,,,,,,
,,A,A1,B,B1,C,C1,D,D1,E*,Total
,Braga,2750,2635,12616,417,725,50,213,11,1556,20973
REGIÃO,Bragança,425,307,2169,191,170,24,36,3,305,3630
NORTE,Porto,4555,3680,21736,1297,1328,124,473,28,2873,36094
,V. Castelo,886,731,3243,181,162,21,25,3,277,5529
,Vila Real,568,451,3139,200,192,22,54,4,347,4977
,,9184,7804,42903,2286,2577,241,801,49,5358,71203
,Aveiro,1882,1722,8385,332,469,48,91,7,1004,13940
REGIÃO,C. Branco,279,217,2080,163,99,20,17,2,163,3040
CENTRO,Coimbra,1714,1360,5161,216,667,88,161,18,1360,10745
,Guarda,473,396,1798,107,224,32,46,4,363,3443
,Leiria,812,868,4152,829,233,60,18,4,425,7401
,Viseu,1376,1134,4358,278,514,41,124,13,940,8778
,,6536,5697,25934,1925,2206,289,457,48,4255,47347
REGIÃO DE,Lisboa,5126,3240,23288,2113,1014,143,457,28,2398,37807
LISBOA,Santarém,1246,1043,4821,262,392,61,86,3,925,8839
E VALE TEJO,Setúbal,1433,932,7144,269,330,34,118,12,669,10941
,,7805,5215,35253,2644,1736,238,661,43,3992,57587
REGIÃO DO,Beja,265,213,1384,78,80,9,17,0,122,2168
ALENTEJO,Évora,559,399,1622,24,209,23,66,6,476,3384
,Portalegre,149,124,1160,105,44,8,5,0,81,1676
,,973,736,4166,207,333,40,88,6,679,7228
R. ALGARVE,Faro,1018,758,4169,225,237,24,74,2,518,7025
TOTAL,,25516,20210,112425,7287,7089,832,2081,148,14802,190390
