,,,,,,,,,,,,
,Acidentes c/,,Vítimas,,Feridos,,,,Total de,,Índice de,
,,,,,,,Feridos leves,,,,,
,vítimas,,mortais,,graves,,,,vítimas,,gravidade,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,2004,2005,2004,2005,2004,2005,2004,2005,2004,2005,2004,2005
,,,,,,,,,,,,
,,,,,,,,,,,,
Auto-Estrada,1915,2035,102,86,226,188,2734,2879,3062,3153,"5,3","4,2"
Est. Nacional,11061,10370,459,467,1402,1279,14329,13501,16190,15247,"4,1","4,5"
,,,,,,,,,,,,
Dentro localidades,5372,5025,171,170,591,543,6761,6409,7523,7122,"3,2","3,4"
Fora localidades,5689,5345,288,297,811,736,7568,7092,8667,8125,"5,1","5,6"
IP/IC,1738,1561,138,118,265,230,2381,2087,2784,2435,"7,9","7,6"
,,,,,,,,,,,,
Dentro localidades,280,263,13,13,43,37,358,334,414,384,"4,6","4,9"
Fora localidades,1458,1298,125,105,222,193,2023,1753,2370,2051,"8,6","8,1"
Est. Municipal,4251,3875,170,154,537,454,5208,4708,5915,5316,"4,0","4,0"
,,,,,,,,,,,,
Dentro localidades,1785,1482,53,45,229,132,2141,1814,2423,1991,"3,0","3,0"
Fora localidades,2466,2393,117,109,308,322,3067,2894,3492,3325,"4,7","4,6"
Arruamentos,19187,18463,229,232,1669,1516,22168,21281,24066,23029,"1,2","1,3"
,,,,,,,,,,,,
Outras(1),778,762,37,37,91,95,999,1031,1127,1163,"4,8","4,9"
Dentro localidades,449,452,22,11,55,52,567,623,644,686,"4,9","2,4"
Fora localidades,329,310,15,26,36,43,432,408,483,477,"4,6","8,4"
Total da rede,38930,37066,1135,1094,4190,3762,47819,45487,53144,50343,"2,9","3,0"
,,,,,,,,,,,,
Dentro localidades,27073,25685,488,471,2587,2280,31995,30461,35070,33212,"1,8","1,8"
Fora localidades,11857,11381,647,623,1603,1482,15824,15026,18074,17131,"5,5","5,5"
