,,,,,,,,,,,,,,
,,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
,,,,,,,,,,,,,,
,Acidentes com vítimas,793,750,795,696,761,826,972,944,887,943,855,883,10105
,Acid.c/ mortos e f.graves,66,60,76,68,70,71,96,105,91,87,84,81,955
REGIÃO,Acid.com mortos,16,20,23,12,19,19,24,23,28,26,21,17,248
NORTE,Mortos,17,26,28,12,20,21,27,23,32,27,24,17,274
,F.Graves,60,57,69,62,58,68,86,121,75,68,71,86,881
,F.Leves,1005,947,1048,903,935,1072,1263,1272,1133,1202,1046,1156,12982
,Acidentes com vítimas,207,196,218,192,212,224,272,270,230,271,237,243,2772
,Acid.c/ mortos e f.graves,22,16,17,25,19,26,24,26,21,24,26,23,269
Braga,Acid.com mortos,4,2,5,6,7,10,7,6,5,6,5,5,68
,Mortos,5,4,7,6,8,11,7,6,6,7,5,5,77
,F.Graves,20,20,19,20,12,23,18,36,18,20,23,23,252
,F.Leves,260,253,287,247,263,291,387,387,315,362,302,328,3682
,Acidentes com vítimas,31,26,34,18,36,33,46,59,50,42,31,41,447
,Acid.c/ mortos e f.graves,6,4,9,3,5,5,11,15,12,9,4,11,94
Bragança,Acid.com mortos,2,1,2,1,0,1,2,3,8,2,2,2,26
,Mortos,2,1,4,1,0,1,2,3,8,2,2,2,28
,F.Graves,4,6,10,2,6,5,10,16,5,7,2,15,88
,F.Leves,35,44,49,21,43,37,47,72,58,50,39,43,538
,Acidentes com vítimas,445,426,418,385,403,427,510,435,466,508,479,476,5378
,Acid.c/ mortos e f.graves,27,33,39,32,31,30,44,39,38,42,39,40,434
Porto,Acid.com mortos,5,15,12,4,6,6,7,10,7,16,9,8,105
,Mortos,5,15,13,4,6,7,7,10,8,16,12,8,111
,F.Graves,29,26,32,32,27,28,44,42,34,30,34,42,400
,F.Leves,547,516,513,502,495,545,631,574,581,642,582,599,6727
,Acidentes com vítimas,64,58,64,58,57,71,86,110,68,66,63,67,832
,Acid.c/ mortos e f.graves,5,3,4,3,7,4,10,13,5,5,5,4,68
V.Castelo,Acid.com mortos,3,1,2,1,3,2,5,2,2,2,2,2,27
,Mortos,3,1,2,1,3,2,7,2,2,2,2,2,29
,F.Graves,2,2,3,2,5,6,7,16,4,3,3,3,56
,F.Leves,101,77,121,68,66,106,128,140,88,84,79,95,1153
,Acidentes com vítimas,46,44,61,43,53,71,58,70,73,56,45,56,676
,Acid.c/ mortos e f.graves,6,4,7,5,8,6,7,12,15,7,10,3,90
V.Real,Acid.com mortos,2,1,2,0,3,0,3,2,6,0,3,0,22
,Mortos,2,5,2,0,3,0,4,2,8,0,3,0,29
,F.Graves,5,3,5,6,8,6,7,11,14,8,9,3,85
,F.Leves,62,57,78,65,68,93,70,99,91,64,44,91,882
