,,,,,,,,
,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,
,,,,,,,,
,2004,2005,2004,2005,2004,2005,2004,2005
Jan,16,15,74,62,1084,981,1174,1058
Fev,22,31,81,73,1028,982,1131,1086
Mar,13,19,71,69,1021,1133,1105,1221
Abr,17,12,79,57,1211,1006,1307,1075
Mai,24,19,91,54,1216,955,1331,1028
Jun,15,13,87,65,1252,1090,1354,1168
Jul,30,19,112,95,1361,1433,1503,1547
Ago,36,16,135,116,1840,1513,2011,1645
Set,21,28,82,70,1172,1182,1275,1280
Out,27,21,89,95,1341,1304,1457,1420
Nov,15,18,75,63,1094,1071,1184,1152
Dez,18,21,67,86,1205,1281,1290,1388
Total,254,232,1043,905,14825,13931,16122,15068
,,,,,,,,
