,Feminino,,Masculino,,Total(1),,População*,Total cond./
,2004,2005,2004,2005,2004,2005,,1000 hab.
,,,,,,,,
<=14,49,43,291,257,343,303,1647437,"0,2"
15-19,545,457,2782,2508,3338,2978,598736,"5,0"
20-24,2264,2055,6844,6078,9124,8178,728850,"11,2"
25-29,2638,2346,6869,6320,9538,8711,825210,"10,6"
30-34,2186,2099,5828,5464,8044,7610,817795,"9,3"
35-39,1781,1874,4751,4673,6558,6592,776922,"8,5"
40-44,1471,1506,4348,4188,5842,5727,780317,"7,3"
45-49,1079,1046,3867,3646,4966,4720,719523,"6,6"
50-54,836,802,3276,3103,4126,3930,675684,"5,8"
55-59,519,505,2715,2614,3245,3131,624715,"5,0"
60-64,287,319,2092,1999,2388,2329,543527,"4,3"
65-69,181,177,1786,1666,1976,1853,535991,"3,5"
70-74,94,108,1280,1267,1376,1381,482637,"2,9"
>=75,71,78,1138,1173,1213,1262,771911,"1,6"
Não def.,89,64,481,380,1591,1462,-,-
Total,14090,13479,48348,45336,63668,60167,10529255,"5,7"
,,,,,,,,
