,,,,,,,,,,,,,,
,,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Acidentes com vítimas,810,784,856,799,802,932,1028,1074,843,1014,846,940,10728
,Acid.c/ mortos e f.graves,76,90,77,83,76,95,117,87,83,91,71,92,1038
REGIÃO,Acid.com mortos,15,27,15,27,29,23,27,26,22,27,22,27,287
CENTRO,Mortos,15,28,15,31,33,24,29,27,24,29,22,31,308
,F.Graves,72,83,74,72,61,88,107,81,78,94,63,78,951
,F.Leves,954,927,1052,979,966,1136,1245,1380,1088,1265,1040,1161,13193
,Acidentes com vítimas,257,238,276,250,243,257,292,276,251,282,230,286,3138
,Acid.c/ mortos e f.graves,18,23,29,22,18,24,28,26,24,33,18,23,286
Aveiro,Acid.com mortos,5,6,3,6,5,4,5,8,6,8,2,6,64
,Mortos,5,6,3,8,6,4,5,8,6,8,2,6,67
,F.Graves,16,24,29,19,17,23,25,27,25,28,19,18,270
,F.Leves,303,279,326,302,294,312,356,338,340,341,288,347,3826
,Acidentes com vítimas,51,49,54,41,41,59,66,66,61,70,67,64,689
,Acid.c/ mortos e f.graves,13,6,8,7,10,9,10,12,8,9,11,13,116
Castelo,Acid.com mortos,1,2,0,0,5,3,2,2,1,2,3,4,25
Branco,Mortos,1,2,0,0,6,4,2,3,1,2,3,5,29
,F.Graves,14,7,10,9,6,9,9,10,9,12,10,10,115
,F.Leves,52,57,68,46,41,73,72,73,83,74,73,83,795
,Acidentes com vítimas,170,148,187,151,174,209,216,226,162,196,178,187,2204
,Acid.c/ mortos e f.graves,11,19,13,13,13,12,18,8,12,13,6,11,149
Coimbra,Acid.com mortos,4,8,4,5,6,4,9,4,4,7,5,5,65
,Mortos,4,9,4,6,7,4,9,4,5,9,5,6,72
,F.Graves,7,15,12,11,8,10,11,5,10,15,1,8,113
,F.Leves,205,177,253,188,208,256,257,312,201,250,229,230,2766
,Acidentes com vítimas,39,29,44,38,40,39,50,67,54,65,39,31,535
,Acid.c/ mortos e f.graves,6,2,4,6,7,6,6,10,6,9,8,5,75
Guarda,Acid.com mortos,2,0,2,3,2,1,0,3,1,1,4,0,19
,Mortos,2,0,2,3,2,1,0,3,1,1,4,0,19
,F.Graves,4,2,2,3,6,7,6,8,6,8,7,8,67
,F.Leves,47,30,52,41,46,42,61,85,67,79,55,40,645
,Acidentes com vítimas,201,203,178,211,195,248,251,260,186,245,219,245,2642
,Acid.c/ mortos e f.graves,22,20,13,16,18,29,29,18,18,17,16,26,242
Leiria,Acid.com mortos,3,5,3,6,8,7,7,6,5,4,5,9,68
,Mortos,3,5,3,6,9,7,7,6,6,4,5,10,71
,F.Graves,24,17,13,14,14,25,29,20,16,23,13,22,230
,F.Leves,239,248,209,262,235,298,318,330,234,314,260,311,3258
,Acidentes com vítimas,92,117,117,108,109,120,153,179,129,156,113,127,1520
,Acid.c/ mortos e f.graves,6,20,10,19,10,15,26,13,15,10,12,14,170
Viseu,Acid.com mortos,0,6,3,7,3,4,4,3,5,5,3,3,46
,Mortos,0,6,3,8,3,4,6,3,5,5,3,4,50
,F.Graves,7,18,8,16,10,14,27,11,12,8,13,12,156
,F.Leves,108,136,144,140,142,155,181,242,163,207,135,150,1903
