,,,,,,
,Feminino,,Masculino,,Total(1),
,,,,,,
,2004,2005,2004,2005,2004,2005
Feridos leves,3015,2886,2828,2676,5849,5568
<=5,131,134,187,220,319,357
6-9,172,148,277,240,450,388
10-14,237,228,275,241,513,470
15-19,194,213,155,161,349,374
20-24,158,136,131,135,289,271
25-29,150,140,136,115,286,255
30-34,132,120,155,139,288,259
35-39,154,152,137,144,291,296
40-44,165,170,149,132,314,302
45-49,173,144,152,143,325,287
50-54,158,150,156,134,314,284
55-59,161,191,138,143,299,334
60-64,186,174,133,126,319,300
65-69,200,174,159,139,359,313
70-74,233,202,175,165,408,367
>=75,372,387,279,279,651,668
Não def.,39,23,34,20,75,43
Total de vítimas,3421,3254,3392,3210,6819,6470
,,,,,,
<=5,146,145,218,245,365,393
6-9,192,155,314,261,507,416
10-14,265,247,309,269,575,517
15-19,208,228,180,174,388,402
20-24,175,154,148,155,323,309
25-29,162,155,155,138,317,293
30-34,145,132,191,161,337,293
35-39,172,164,169,176,341,340
40-44,182,187,182,179,364,366
45-49,185,160,177,181,362,341
50-54,177,174,179,166,356,340
55-59,186,209,161,174,347,383
60-64,210,208,181,158,391,366
65-69,240,207,202,186,442,393
70-74,275,241,215,210,490,451
>=75,456,463,366,347,822,812
Não def.,45,25,45,30,92,55
