,,Acidentes c/,,Feridos,Feridos,Total de
,,,Mortos,,,
,,vítimas,,graves,leves,vítimas
,,,,,,
,Atropelamentos,166,7,23,153,183
REGIÃO,Colisão,604,44,104,805,953
ALENTEJO,Despiste,878,59,149,1004,1212
,Total,1648,110,276,1962,2348
,Atropelamentos,47,2,2,44,48
Beja,Colisão,211,16,30,293,339
,Despiste,353,20,57,414,491
,Total,611,38,89,751,878
,Atropelamentos,71,3,10,68,81
Évora,Colisão,269,20,43,343,406
,Despiste,337,21,63,385,469
,Total,677,44,116,796,956
,Atropelamentos,48,2,11,41,54
Portalegre,Colisão,124,8,31,169,208
,Despiste,188,18,29,205,252
,Total,360,28,71,415,514
