,,,,,,
,Feminino,,Masculino,,Total(1),
,,,,,,
,2004,2005,2004,2005,2004,2005
Feridos leves,7207,6992,19845,18854,27145,25988
,,,,,,
<=14,46,37,251,213,300,252
15-19,328,287,1661,1494,1993,1787
20-24,1171,1096,2948,2711,4127,3822
25-29,1394,1268,2868,2664,4271,3945
30-34,1089,1070,2301,2142,3399,3230
35-39,874,911,1752,1766,2631,2695
40-44,712,715,1616,1547,2331,2274
45-49,530,507,1421,1324,1957,1843
50-54,417,412,1133,1136,1554,1554
55-59,268,292,940,960,1212,1258
60-64,157,173,840,782,999,958
65-69,97,88,791,746,893,837
70-74,50,54,578,620,628,675
>=75,41,53,626,630,668,687
Não def.,33,29,119,119,182,171
Total de vítimas,7559,7310,22537,21330,30203,28805
,,,,,,
<=14,48,41,277,248,328,292
15-19,347,304,1879,1688,2233,2001
20-24,1232,1139,3374,3069,4614,4224
25-29,1446,1318,3255,3019,4711,4353
30-34,1141,1113,2619,2452,3773,3588
35-39,909,940,2018,1996,2932,2956
40-44,747,750,1828,1752,2578,2514
45-49,560,535,1597,1483,2163,2031
50-54,435,433,1276,1283,1715,1723
55-59,286,312,1063,1069,1353,1388
60-64,168,184,937,873,1107,1060
65-69,103,93,895,842,1003,938
70-74,55,61,666,706,721,770
>=75,45,57,709,723,756,784
Não def.,37,30,144,127,216,183
