,,Acidentes c/,,Feridos,Feridos,Total de
,,,Mortos,,,
,,vítimas,,graves,leves,vítimas
,,,,,,
,Atropelamentos,2478,57,298,2316,2671
REGIÃO,Colisão,6494,160,650,8609,9419
LISBOA E,Despiste,3227,111,403,3732,4246
VALE TEJO,Total,12199,328,1351,14657,16336
,Atropelamentos,1784,34,214,1663,1911
Lisboa,Colisão,3915,60,360,5129,5549
,Despiste,1604,42,192,1805,2039
,Total,7303,136,766,8597,9499
,Atropelamentos,227,7,33,205,245
Santarém,Colisão,1082,47,145,1427,1619
,Despiste,948,37,135,1081,1253
,Total,2257,91,313,2713,3117
,Atropelamentos,467,16,51,448,515
Setúbal,Colisão,1497,53,145,2053,2251
,Despiste,675,32,76,846,954
,Total,2639,101,272,3347,3720
