,,,,,,,,
Distrito de Lisboa,,,,,,,,
,,,,,,,,
Código,Km,km,Nº de,Nº de,Nº de,Nº de,Nº de,Indicador de
da via,Inicial,Final,Acidentes,Veículos,Mortos,F.Graves,F.Leves,Gravidade
A5(1),"0,100","0,300",5,15,0,1,6,28
A5(2),"3,870","4,000",5,10,0,0,11,33
A5(1),"4,100","4,300",5,17,0,0,10,30
A5(2),"4,200","4,400",5,19,0,2,7,41
A5(1),"4,400","4,600",5,14,0,0,8,24
A5(2),"7,000","7,200",12,18,0,3,13,69
A5(1),"7,500","7,700",11,17,0,0,13,39
EN10,"124,400","124,600",6,15,0,0,10,30
EN10,"128,550","128,700",5,9,0,1,6,28
EN117,"2,900","3,100",5,12,0,0,8,24
EN249,"16,500","16,700",5,17,0,0,8,24
EN6,"2,900","3,100",12,18,0,0,17,51
EN6,"4,000","4,200",6,8,0,1,6,28
EN6,"6,100","6,300",5,11,0,0,10,30
EN6,"11,500","11,700",5,8,0,2,5,35
EN6,"13,900","14,100",5,12,0,1,5,25
EN6-7,"2,300","2,500",6,8,0,0,9,27
EN9,"64,450","64,600",5,7,0,1,9,37
IC1,"1,500","1,700",8,14,0,0,8,24
IC19,"2,000","2,200",5,8,2,2,5,235
IC19,"2,600","2,800",5,13,0,0,7,21
IC19,"3,200","3,400",5,9,0,0,7,21
IC19,"3,600","3,800",5,12,0,1,5,25
IC19,"3,900","4,100",5,11,0,0,7,21
IC19,"5,200","5,400",5,9,1,0,6,118
IC19,"6,000","6,200",8,23,0,0,15,45
IC19,"6,500","6,700",9,16,0,0,11,33
IC19,"7,000","7,200",7,15,0,0,17,51
IC19,"8,000","8,200",5,11,0,0,7,21
IC19,"8,300","8,500",17,26,1,3,22,196
IC19,"8,600","8,800",6,8,0,1,5,25
IC19,"9,500","9,650",5,6,0,0,8,24
IC19,"9,800","10,000",7,11,0,2,9,47
IC2,"34,000","34,100",5,9,0,1,6,28
,,,220,436,4,22,306,1538
(1) sentido crescente da quilometragem,,,,,,,,
(2) sentido decrescente da quilometragem,,,,,,,,
,,,,,,,,
Distrito de Santarém,,,,,,,,
,,,,,,,,
EN114,"75,800","76,000",5,7,0,1,7,31
EN118,"38,000","38,200",8,17,0,2,11,53
EN118,"41,000","41,200",5,11,0,1,7,31
EN118,"41,300","41,468",6,11,0,0,7,21
EN3,"33,600","33,800",6,12,0,6,16,108
EN3,"36,200","36,400",8,10,0,1,9,37
EN3,"39,600","39,700",5,12,1,1,5,125
,,,43,80,1,12,62,406
