,,,,,,,,
,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,
,,,,,,,,
,2004,2005,2004,2005,2004,2005,2004,2005
Jan,63,47,203,144,2040,1990,2306,2181
Fev,43,56,180,164,1914,1909,2137,2129
Mar,46,55,185,153,2156,2060,2387,2268
Abr,59,45,182,165,2237,1896,2478,2106
Mai,53,58,231,151,2216,2009,2500,2218
Jun,51,62,254,194,2356,2217,2661,2473
Jul,72,71,223,251,2585,2521,2880,2843
Ago,76,61,229,230,2552,2450,2857,2741
Set,53,59,173,179,2216,2214,2442,2452
Out,71,56,186,199,2547,2441,2804,2696
Nov,51,47,176,149,2101,2085,2328,2281
Dez,39,57,159,164,2225,2196,2423,2417
Total,677,674,2381,2143,27145,25988,30203,28805
,,,,,,,,
