,,Acidentes com,,Vítimas,,,,,,Total de,
,,,,,,Feridos graves,,Feridos leves,,,
,,vítimas,,mortais,,,,,,vítimas,
,,,,,,,,,,,
,,2004,2005,2004,2005,2004,2005,2004,2005,2004,2005
,,,,,,,,,,,
,Braga,2902,2772,85,77,273,252,3708,3682,4066,4011
REGIÃO,Bragança,411,447,21,28,59,88,526,538,606,654
NORTE,Porto,5680,5378,146,111,481,400,7170,6727,7797,7238
,V. Castelo,860,832,32,29,55,56,1131,1153,1218,1238
,Vila Real,717,676,26,29,91,85,905,882,1022,996
,,10570,10105,310,274,959,881,13440,12982,14709,14137
,Aveiro,3172,3138,71,67,267,270,3839,3826,4177,4163
REGIÃO,C. Branco,685,689,31,29,106,115,792,795,929,939
CENTRO,Coimbra,2281,2204,74,72,162,113,2790,2766,3026,2951
,Guarda,613,535,38,19,85,67,752,645,875,731
,Leiria,2747,2642,100,71,269,230,3318,3258,3687,3559
,Viseu,1613,1520,52,50,157,156,2113,1903,2322,2109
,,11111,10728,366,308,1046,951,13604,13193,15016,14452
REGIÃO DE,Lisboa,7605,7303,126,136,821,766,9065,8597,10012,9499
LISBOA,Santarém,2500,2257,91,91,431,313,2979,2713,3501,3117
E VALE TEJO,Setúbal,2946,2639,96,101,341,272,3759,3347,4196,3720
,,13051,12199,313,328,1593,1351,15803,14657,17709,16336
REGIÃO DO,Beja,593,611,31,38,109,89,773,751,913,878
ALENTEJO,Évora,733,677,21,44,136,116,885,796,1042,956
,Portalegre,450,360,19,28,84,71,520,415,623,514
,,1776,1648,71,110,329,276,2178,1962,2578,2348
R. ALGARVE,Faro,2422,2386,75,74,263,303,2794,2693,3132,3070
TOTAL,,38930,37066,1135,1094,4190,3762,47819,45487,53144,50343
