,,Acidentes c/,,Feridos,Feridos,Total de
,,,Mortos,,,
,,vítimas,,graves,leves,vítimas
,,,,,,
,Atropelamentos,1302,47,167,1219,1433
REGIÃO,Colisão,5702,139,469,7501,8109
CENTRO,Despiste,3724,122,315,4473,4910
,Total,10728,308,951,13193,14452
,Atropelamentos,384,12,52,368,432
Aveiro,Colisão,1890,33,138,2420,2591
,Despiste,864,22,80,1038,1140
,Total,3138,67,270,3826,4163
,Atropelamentos,102,2,17,86,105
C. Branco,Colisão,276,17,50,364,431
,Despiste,311,10,48,345,403
,Total,689,29,115,795,939
,Atropelamentos,271,10,17,265,292
Coimbra,Colisão,1140,29,60,1543,1632
,Despiste,793,33,36,958,1027
,Total,2204,72,113,2766,2951
,Atropelamentos,64,2,15,50,67
Guarda,Colisão,218,5,20,294,319
,Despiste,253,12,32,301,345
,Total,535,19,67,645,731
,Atropelamentos,282,14,40,262,316
Leiria,Colisão,1442,38,128,1871,2037
,Despiste,918,19,62,1125,1206
,Total,2642,71,230,3258,3559
,Atropelamentos,199,7,26,188,221
Viseu,Colisão,736,17,73,1009,1099
,Despiste,585,26,57,706,789
,Total,1520,50,156,1903,2109
