,,,,,,,,
,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,
,,,,,,,,
,2004,2005,2004,2005,2004,2005,2004,2005
Dentro das localidades,134,113,678,626,5555,5302,6367,6041
Segunda-feira,19,17,95,114,863,839,977,970
Terça-feira,15,15,101,86,830,852,946,953
Quarta-feira,19,18,96,91,852,859,967,968
Quinta-feira,13,14,111,93,910,768,1034,875
Sexta-feira,23,20,104,100,942,908,1069,1028
Sábado,20,18,105,88,671,618,796,724
Domingo,25,11,66,54,487,458,578,523
Fora das localidades,70,75,88,88,294,266,452,429
Segunda-feira,10,10,19,14,27,33,56,57
Terça-feira,8,9,8,8,40,37,56,54
Quarta-feira,8,10,9,12,37,40,54,62
Quinta-feira,9,11,11,9,46,38,66,58
Sexta-feira,12,13,11,14,48,43,71,70
Sábado,4,13,16,14,33,39,53,66
Domingo,19,9,14,17,63,36,96,62
Total,204,188,766,714,5849,5568,6819,6470
Segunda-feira,29,27,114,128,890,872,1033,1027
Terça-feira,23,24,109,94,870,889,1002,1007
Quarta-feira,27,28,105,103,889,899,1021,1030
Quinta-feira,22,25,122,102,956,806,1100,933
Sexta-feira,35,33,115,114,990,951,1140,1098
Sábado,24,31,121,102,704,657,849,790
Domingo,44,20,80,71,550,494,674,585
