,,,,,,,Total condutores,,Total condutores,
,Vítimas mortais,,Feridos graves,,Feridos leves,,,,,
,,,,,,,vítimas,,intervenientes,
,,,,,,,,,,
,2004,2005,2004,2005,2004,2005,2004,2005,2004,2005
,,,,,,,,,,
< 1 ano,13,17,64,69,1024,980,1101,1066,2000,1856
1 a 5 anos,155,136,682,514,8026,7030,8863,7680,16872,14742
6 a 10 anos,119,95,389,361,5256,5000,5764,5456,12341,11339
11 a 20 anos,119,142,420,391,5259,5502,5798,6035,13939,14180
>= 20 anos,149,167,390,416,4871,4950,5410,5533,13416,13295
Não definido,14,19,60,50,350,396,424,465,1822,1786
Total(1),569,576,2005,1801,24786,23858,27360,26235,60390,57198
