,,,,,,
,Até 5 anos,,5 a 9 anos,,10 a 14 anos,
,,,,,,
,,,,,,
,2004,2005,2004,2005,2004,2005
Veíc. ligeiro,15754,13045,16340,16576,11450,10628
Veíc. pesado,882,719,938,1059,571,485
Ciclomotor,1326,1033,1559,1477,1305,915
Motociclos,1978,1726,1446,1502,578,608
Sub-total,19940,16523,20283,20614,13904,12636
,,,,,,
,,,,,,
,15 a 19 anos,,>=20 anos,,Total(1),
,,,,,,
,,,,,,
,2004,2005,2004,2005,2004,2005
Veíc. ligeiro,3929,4519,702,729,49017,46299
Veíc. pesado,335,351,139,119,2922,2800
Ciclomotor,854,947,335,333,5601,4950
Motociclos,123,175,67,58,4346,4191
Sub-total,5241,5992,1243,1239,61886,58240
,,,,,,
