Distrito de Aveiro,,,,,,,,
Código,Km,km,Nº de,Nº de,Nº de,Nº de,Nº de,Indicador de
da via,Inicial,Final,Acidentes,Veículos,Mortos,F.Graves,F.Leves,Gravidade
EN1,"251,100","251,300",5,8,0,1,9,37
EN1,"285,950","286,100",6,13,0,1,5,25
EN222,"37,200","37,350",6,10,0,0,8,24
EN223,"19,500","19,700",6,15,1,0,12,136
EN223,"25,550","25,750",5,9,0,2,10,50
,,,28,55,1,4,44,272
Distrito de Coimbra,,,,,,,,
,,,,,,,,
EN1,"198,800","199,000",5,11,0,0,7,21
IC1,"131,500","131,600",6,12,2,0,7,221
,,,11,23,2,0,14,242
Distrito de Leiria,,,,,,,,
,,,,,,,,
EN1,"83,700","83,900",5,10,0,0,12,36
EN1,"146,800","146,900",5,9,1,0,6,118
EN109,"156,400","156,580",5,10,1,0,6,118
EN242,"41,500","41,700",5,7,0,1,9,37
IC2,"119,000","119,100",6,12,1,1,8,134
,,,26,48,3,2,41,443
