,,,2004,,2005,,
,,,Inspecções,Tx. Rep.,Inspecções,Tx. Rep.,
,,Braga,423912,"20,4",431016,"19,7",
REGIÃO,,Bragança,85385,"21,6",86417,"20,3",
NORTE,,Porto,839297,"20,2",856786,"20,2",
,,V. Castelo,118203,"20,4",123823,"24,1",
,,Vila Real,85944,"24,4",87780,"21,2",
,,,1552741,,1585822,,
,,Aveiro,392862,"21,5",392826,"19,6",
REGIÃO,,C. Branco,120685,"24,2",119407,"21,2",
CENTRO,,Coimbra,241670,"21,6",246345,"20,5",
,,Guarda,112892,"25,2",110921,"20,8",
,,Leiria,362111,"21,0",366630,"19,3",
,,Viseu,175164,"22,7",180229,"20,0",
,,,1405384,,1416358,,
REGIÃO DE,,Lisboa,932201,"20,7",945113,"23,2",
LISBOA,,Santarém,261036,"22,0",261829,"22,1",
E VALE TEJO,,Setúbal,340186,"23,2",348615,"18,8",
,,,1533423,,1555557,,
REGIÃO DO,,Beja,68572,"21,3",73207,"21,8",
ALENTEJO,,Évora,101466,"21,5",100999,"25,3",
,,Portalegre,60405,"24,2",61433,"18,6",
,,,230443,,235639,,
R. ALGARVE,,Faro,258968,"25,9",265015,"22,2",
TOTAL,,,4980959,,5058391,,
