,,,,,,,,,,,,
,Acidentes c/,,Vítimas,,Feridos,,,,Total de,,Índice de,
,,,,,,,Feridos leves,,,,,
,vítimas,,mortais,,graves,,,,vítimas,,gravidade,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,2004,2005,2004,2005,2004,2005,2004,2005,2004,2005,2004,2005
,,,,,,,,,,,,
,,,,,,,,,,,,
Jan,3072,2858,95,83,361,263,3644,3460,4100,3806,"3,1","2,9"
,,,,,,,,,,,,
Fev,2810,2743,90,106,321,285,3401,3298,3812,3689,"3,2","3,9"
,,,,,,,,,,,,
Mar,3114,2910,74,82,329,263,3687,3642,4090,3987,"2,4","2,8"
,,,,,,,,,,,,
Abr,3167,2712,86,74,319,280,3886,3302,4291,3656,"2,7","2,7"
,,,,,,,,,,,,
Mai,3203,2871,91,93,384,260,3904,3427,4379,3780,"2,8","3,2"
,,,,,,,,,,,,
Jun,3367,3102,85,87,399,316,4127,3746,4611,4149,"2,5","2,8"
,,,,,,,,,,,,
Jul,3570,3578,116,100,385,407,4423,4411,4924,4918,"3,2","2,8"
,,,,,,,,,,,,
Ago,3593,3415,127,92,421,396,4803,4364,5351,4852,"3,5","2,7"
,,,,,,,,,,,,
Set,3077,3120,85,101,321,307,3819,3897,4225,4305,"2,8","3,2"
,,,,,,,,,,,,
Out,3539,3506,112,101,336,358,4358,4311,4806,4770,"3,2","2,9"
,,,,,,,,,,,,
Nov,3182,3016,93,77,329,300,3780,3630,4202,4007,"2,9","2,6"
,,,,,,,,,,,,
Dez,3236,3235,81,98,285,327,3987,3999,4353,4424,"2,5","3,0"
,,,,,,,,,,,,
Total,38930,37066,1135,1094,4190,3762,47819,45487,53144,50343,"2,9","3,0"
